	time(s)		A (um-2)
   4.6953900e-08   9.9985587e+02
   4.8048704e-08   9.9985251e+02
   4.9169036e-08   9.9984907e+02
   5.0315489e-08   9.9984556e+02
   5.1488675e-08   9.9984195e+02
   5.2689214e-08   9.9983827e+02
   5.3917746e-08   9.9983450e+02
   5.5174924e-08   9.9983064e+02
   5.6461414e-08   9.9982669e+02
   5.7777901e-08   9.9982265e+02
   5.9125084e-08   9.9981852e+02
   6.0503679e-08   9.9981429e+02
   6.1914418e-08   9.9980996e+02
   6.3358050e-08   9.9980553e+02
   6.4835343e-08   9.9980100e+02
   6.6347081e-08   9.9979636e+02
   6.7894068e-08   9.9979161e+02
   6.9477125e-08   9.9978675e+02
   7.1097094e-08   9.9978178e+02
   7.2754835e-08   9.9977669e+02
   7.4451229e-08   9.9977149e+02
   7.6187177e-08   9.9976616e+02
   7.7963601e-08   9.9976071e+02
   7.9781446e-08   9.9975513e+02
   8.1641676e-08   9.9974942e+02
   8.3545281e-08   9.9974358e+02
   8.5493271e-08   9.9973760e+02
   8.7486681e-08   9.9973149e+02
   8.9526571e-08   9.9972523e+02
   9.1614025e-08   9.9971882e+02
   9.3750150e-08   9.9971227e+02
   9.5936083e-08   9.9970556e+02
   9.8172984e-08   9.9969870e+02
   1.0046204e-07   9.9969168e+02
   1.0280447e-07   9.9968449e+02
   1.0520152e-07   9.9967714e+02
   1.0765446e-07   9.9966961e+02
   1.1016459e-07   9.9966191e+02
   1.1273326e-07   9.9965403e+02
   1.1536181e-07   9.9964596e+02
   1.1805165e-07   9.9963771e+02
   1.2080421e-07   9.9962927e+02
   1.2362095e-07   9.9962063e+02
   1.2650337e-07   9.9961179e+02
   1.2945300e-07   9.9960274e+02
   1.3247140e-07   9.9959348e+02
   1.3556018e-07   9.9958400e+02
   1.3872098e-07   9.9957431e+02
   1.4195548e-07   9.9956439e+02
   1.4526539e-07   9.9955423e+02
   1.4865248e-07   9.9954385e+02
   1.5211855e-07   9.9953321e+02
   1.5566544e-07   9.9952234e+02
   1.5929502e-07   9.9951120e+02
   1.6300924e-07   9.9949981e+02
   1.6681005e-07   9.9948816e+02
   1.7069949e-07   9.9947623e+02
   1.7467962e-07   9.9946402e+02
   1.7875255e-07   9.9945153e+02
   1.8292045e-07   9.9943875e+02
   1.8718553e-07   9.9942567e+02
   1.9155006e-07   9.9941229e+02
   1.9601635e-07   9.9939859e+02
   2.0058678e-07   9.9938458e+02
   2.0526378e-07   9.9937024e+02
   2.1004982e-07   9.9935556e+02
   2.1494747e-07   9.9934055e+02
   2.1995931e-07   9.9932518e+02
   2.2508801e-07   9.9930946e+02
   2.3033629e-07   9.9929337e+02
   2.3570694e-07   9.9927690e+02
   2.4120282e-07   9.9926006e+02
   2.4682685e-07   9.9924282e+02
   2.5258200e-07   9.9922517e+02
   2.5847135e-07   9.9920712e+02
   2.6449802e-07   9.9918865e+02
   2.7066521e-07   9.9916975e+02
   2.7697619e-07   9.9915041e+02
   2.8343433e-07   9.9913061e+02
   2.9004305e-07   9.9911036e+02
   2.9680586e-07   9.9908964e+02
   3.0372636e-07   9.9906843e+02
   3.1080822e-07   9.9904673e+02
   3.1805520e-07   9.9902452e+02
   3.2547116e-07   9.9900180e+02
   3.3306003e-07   9.9897855e+02
   3.4082585e-07   9.9895476e+02
   3.4877275e-07   9.9893041e+02
   3.5690493e-07   9.9890550e+02
   3.6522674e-07   9.9888001e+02
   3.7374257e-07   9.9885393e+02
   3.8245697e-07   9.9882723e+02
   3.9137456e-07   9.9879992e+02
   4.0050008e-07   9.9877198e+02
   4.0983837e-07   9.9874338e+02
   4.1939440e-07   9.9871412e+02
   4.2917324e-07   9.9868417e+02
   4.3918009e-07   9.9865353e+02
   4.4942027e-07   9.9862218e+02
   4.5989921e-07   9.9859010e+02
   4.7062248e-07   9.9855727e+02
   4.8159579e-07   9.9852368e+02
   4.9282496e-07   9.9848931e+02
   5.0431595e-07   9.9845414e+02
   5.1607487e-07   9.9841816e+02
   5.2810797e-07   9.9838133e+02
   5.4042164e-07   9.9834365e+02
   5.5302243e-07   9.9830510e+02
   5.6591702e-07   9.9826565e+02
   5.7911226e-07   9.9822528e+02
   5.9261518e-07   9.9818398e+02
   6.0643294e-07   9.9814171e+02
   6.2057288e-07   9.9809847e+02
   6.3504252e-07   9.9805421e+02
   6.4984954e-07   9.9800894e+02
   6.6500180e-07   9.9796261e+02
   6.8050737e-07   9.9791520e+02
   6.9637447e-07   9.9786669e+02
   7.1261154e-07   9.9781706e+02
   7.2922721e-07   9.9776628e+02
   7.4623029e-07   9.9771431e+02
   7.6362983e-07   9.9766114e+02
   7.8143506e-07   9.9760674e+02
   7.9965545e-07   9.9755107e+02
   8.1830068e-07   9.9749412e+02
   8.3738065e-07   9.9743584e+02
   8.5690551e-07   9.9737621e+02
   8.7688561e-07   9.9731519e+02
   8.9733158e-07   9.9725276e+02
   9.1825428e-07   9.9718889e+02
   9.3966483e-07   9.9712353e+02
   9.6157460e-07   9.9705666e+02
   9.8399523e-07   9.9698824e+02
   1.0069386e-06   9.9691823e+02
   1.0304170e-06   9.9684660e+02
   1.0544428e-06   9.9677331e+02
   1.0790288e-06   9.9669832e+02
   1.1041881e-06   9.9662160e+02
   1.1299339e-06   9.9654310e+02
   1.1562801e-06   9.9646278e+02
   1.1832406e-06   9.9638061e+02
   1.2108298e-06   9.9629653e+02
   1.2390622e-06   9.9621050e+02
   1.2679528e-06   9.9612249e+02
   1.2975172e-06   9.9603243e+02
   1.3277708e-06   9.9594030e+02
   1.3587299e-06   9.9584604e+02
   1.3904108e-06   9.9574959e+02
   1.4228305e-06   9.9565092e+02
   1.4560060e-06   9.9554996e+02
   1.4899551e-06   9.9544668e+02
   1.5246957e-06   9.9534100e+02
   1.5602464e-06   9.9523289e+02
   1.5966260e-06   9.9512228e+02
   1.6338539e-06   9.9500912e+02
   1.6719498e-06   9.9489334e+02
   1.7109339e-06   9.9477489e+02
   1.7508270e-06   9.9465371e+02
   1.7916503e-06   9.9452974e+02
   1.8334255e-06   9.9440290e+02
   1.8761747e-06   9.9427315e+02
   1.9199207e-06   9.9414040e+02
   1.9646866e-06   9.9400459e+02
   2.0104964e-06   9.9386566e+02
   2.0573743e-06   9.9372352e+02
   2.1053452e-06   9.9357812e+02
   2.1544347e-06   9.9342937e+02
   2.2046687e-06   9.9327719e+02
   2.2560741e-06   9.9312152e+02
   2.3086780e-06   9.9296226e+02
   2.3625085e-06   9.9279935e+02
   2.4175941e-06   9.9263269e+02
   2.4739641e-06   9.9246221e+02
   2.5316485e-06   9.9228781e+02
   2.5906779e-06   9.9210941e+02
   2.6510836e-06   9.9192691e+02
   2.7128978e-06   9.9174023e+02
   2.7761533e-06   9.9154927e+02
   2.8408837e-06   9.9135393e+02
   2.9071234e-06   9.9115412e+02
   2.9749075e-06   9.9094973e+02
   3.0442722e-06   9.9074066e+02
   3.1152542e-06   9.9052682e+02
   3.1878913e-06   9.9030807e+02
   3.2622220e-06   9.9008433e+02
   3.3382859e-06   9.8985548e+02
   3.4161233e-06   9.8962140e+02
   3.4957756e-06   9.8938198e+02
   3.5772851e-06   9.8913709e+02
   3.6606951e-06   9.8888662e+02
   3.7460500e-06   9.8863045e+02
   3.8333951e-06   9.8836843e+02
   3.9227768e-06   9.8810045e+02
   4.0142425e-06   9.8782638e+02
   4.1078409e-06   9.8754607e+02
   4.2036217e-06   9.8725938e+02
   4.3016358e-06   9.8696619e+02
   4.4019352e-06   9.8666634e+02
   4.5045733e-06   9.8635969e+02
   4.6096045e-06   9.8604608e+02
   4.7170847e-06   9.8572537e+02
   4.8270710e-06   9.8539740e+02
   4.9396217e-06   9.8506200e+02
   5.0547968e-06   9.8471903e+02
   5.1726574e-06   9.8436830e+02
   5.2932661e-06   9.8400965e+02
   5.4166869e-06   9.8364291e+02
   5.5429855e-06   9.8326791e+02
   5.6722290e-06   9.8288445e+02
   5.8044859e-06   9.8249237e+02
   5.9398267e-06   9.8209146e+02
   6.0783231e-06   9.8168155e+02
   6.2200488e-06   9.8126244e+02
   6.3650791e-06   9.8083392e+02
   6.5134909e-06   9.8039580e+02
   6.6653633e-06   9.7994786e+02
   6.8207767e-06   9.7948991e+02
   6.9798139e-06   9.7902172e+02
   7.1425593e-06   9.7854308e+02
   7.3090993e-06   9.7805377e+02
   7.4795225e-06   9.7755355e+02
   7.6539194e-06   9.7704219e+02
   7.8323826e-06   9.7651947e+02
   8.0150070e-06   9.7598514e+02
   8.2018895e-06   9.7543896e+02
   8.3931295e-06   9.7488067e+02
   8.5888286e-06   9.7431003e+02
   8.7890907e-06   9.7372677e+02
   8.9940222e-06   9.7313064e+02
   9.2037320e-06   9.7252136e+02
   9.4183315e-06   9.7189867e+02
   9.6379348e-06   9.7126228e+02
   9.8626585e-06   9.7061192e+02
   1.0092622e-05   9.6994729e+02
   1.0327947e-05   9.6926811e+02
   1.0568760e-05   9.6857408e+02
   1.0815187e-05   9.6786489e+02
   1.1067360e-05   9.6714024e+02
   1.1325413e-05   9.6639982e+02
   1.1589483e-05   9.6564331e+02
   1.1859710e-05   9.6487039e+02
   1.2136238e-05   9.6408072e+02
   1.2419214e-05   9.6327398e+02
   1.2708787e-05   9.6244983e+02
   1.3005113e-05   9.6160792e+02
   1.3308347e-05   9.6074791e+02
   1.3618652e-05   9.5986943e+02
   1.3936193e-05   9.5897213e+02
   1.4261137e-05   9.5805565e+02
   1.4593658e-05   9.5711961e+02
   1.4933932e-05   9.5616364e+02
   1.5282140e-05   9.5518735e+02
   1.5638468e-05   9.5419036e+02
   1.6003103e-05   9.5317228e+02
   1.6376241e-05   9.5213272e+02
   1.6758079e-05   9.5107125e+02
   1.7148820e-05   9.4998749e+02
   1.7548671e-05   9.4888101e+02
   1.7957846e-05   9.4775140e+02
   1.8376562e-05   9.4659823e+02
   1.8805041e-05   9.4542108e+02
   1.9243510e-05   9.4421951e+02
   1.9692203e-05   9.4299309e+02
