0	1000
1e-07	999.999
1.1961e-07	999.999
1.43065e-07	999.999
1.71121e-07	999.999
2.04677e-07	999.999
2.44814e-07	999.998
2.92822e-07	999.998
3.50245e-07	999.998
4.18928e-07	999.997
5.01079e-07	999.997
5.99341e-07	999.996
7.16871e-07	999.996
8.57449e-07	999.995
1.02559e-06	999.994
1.22671e-06	999.992
1.46727e-06	999.991
1.755e-06	999.989
2.09916e-06	999.987
2.5108e-06	999.984
3.00317e-06	999.981
3.59209e-06	999.978
4.2965e-06	999.973
5.13904e-06	999.968
6.14681e-06	999.962
7.35219e-06	999.954
8.79396e-06	999.945
1.05184e-05	999.934
1.25811e-05	999.921
1.50483e-05	999.906
1.79992e-05	999.888
2.15289e-05	999.865
2.57507e-05	999.839
3.08004e-05	999.807
3.68403e-05	999.77
4.40647e-05	999.725
5.27058e-05	999.671
6.30413e-05	999.606
7.54037e-05	999.529
9.01904e-05	999.436
0.000107877	999.319
0.000129031	999.169
0.000154334	998.99
0.000184599	998.776
0.000220799	998.493
0.000264098	998.133
0.000315887	997.661
0.000377832	996.99
0.000451925	996.339
0.000540548	995.756
0.000646549	995.07
0.000773337	993.922
0.000924988	992.813
0.00110638	991.608
0.00132334	990.281
0.00158284	988.622
0.00189324	986.101
0.0022645	983.823
0.00270857	981.235
0.00323972	977.578
0.00387503	972.791
0.00463492	966.865
0.00554383	961.228
0.00663097	953.325
0.0079313	945.237
0.00948663	934.97
0.011347	923.851
0.0135721	911.269
0.0162336	892.61
0.019417	874.074
0.0232246	853.97
0.027779	831.055
0.0332264	806.026
0.0397421	777.498
0.0475355	745.774
0.0568572	709.774
0.0680069	672.188
0.081343	631.868
0.0972944	593.347
0.116374	552.824
0.139195	516.257
0.166491	478.849
0.199139	444
0.238191	411.303
0.2849	381.292
0.340768	358.182
0.407593	340.881
0.487522	325.074
0.583125	311.271
0.697475	307.469
0.83425	303.104
0.997846	301.183
1.19352	301.262
1.42757	296.417
1.70752	298.375
2.04236	300.973
2.44287	301
2.92192	301.527
3.4949	301.333
4.18025	301.5
5	NaN
