iter A R
413000 1622 0
414000 1614 1
415000 1608 1
416000 1603 2
417000 1591 0
418000 1576 3
419000 1560 0
420000 1555 0
421000 1552 4
422000 1532 2
423000 1522 1
424000 1515 1
425000 1508 3
426000 1496 2
427000 1486 2
428000 1473 2
429000 1463 1
430000 1460 1
431000 1452 1
432000 1438 2
433000 1432 3
434000 1421 0
435000 1419 1
436000 1430 2
437000 1436 2
438000 1463 2
439000 1469 0
440000 1472 0
441000 1480 2
442000 1485 3
443000 1483 2
444000 1486 3
445000 1490 1
446000 1490 2
447000 1478 2
448000 1469 1
449000 1468 0
450000 1459 1
451000 1458 2
452000 1463 3
453000 1450 1
454000 1454 3
455000 1467 2
456000 1453 3
457000 1439 3
458000 1432 0
459000 1431 3
460000 1422 1
461000 1418 2
462000 1422 5
463000 1423 2
464000 1411 2
465000 1417 3
466000 1412 0
467000 1424 0
468000 1422 0
469000 1427 0
470000 1439 1
471000 1443 0
472000 1437 0
473000 1428 3
474000 1419 0
475000 1410 0
476000 1404 0
477000 1418 2
478000 1419 2
479000 1416 0
480000 1403 1
481000 1396 2
482000 1397 2
483000 1390 5
484000 1388 2
485000 1388 2
486000 1379 4
487000 1374 0
488000 1364 4
489000 1360 2
490000 1345 0
491000 1345 1
492000 1335 1
493000 1336 2
494000 1322 3
495000 1323 4
496000 1307 3
497000 1305 4
498000 1289 7
499000 1277 1
500000 1263 4
501000 1256 2
502000 1258 4
503000 1244 1
504000 1233 2
505000 1237 2
506000 1239 3
507000 1239 3
508000 1242 1
509000 1256 3
510000 1266 1
511000 1270 2
512000 1289 2
513000 1296 1
514000 1305 3
515000 1306 3
516000 1315 3
517000 1326 3
518000 1313 3
519000 1312 0
520000 1301 4
521000 1289 3
522000 1279 2
523000 1276 4
524000 1271 3
525000 1269 2
526000 1273 3
527000 1270 3
528000 1272 7
529000 1270 4
530000 1271 3
531000 1274 4
532000 1276 2
533000 1269 1
534000 1282 2
535000 1292 0
536000 1293 4
537000 1287 3
538000 1284 3
539000 1292 1
540000 1284 5
541000 1289 1
542000 1280 2
543000 1273 2
544000 1268 2
545000 1248 2
546000 1241 1
547000 1242 3
548000 1235 3
549000 1219 7
550000 1204 3
551000 1189 2
552000 1168 4
553000 1160 4
554000 1148 4
555000 1136 1
556000 1133 4
557000 1124 0
558000 1120 1
559000 1108 4
560000 1089 3
561000 1068 4
562000 1053 3
563000 1050 7
564000 1031 3
565000 1015 0
566000 1004 4
567000 996 2
568000 984 4
569000 970 4
570000 972 4
571000 965 6
572000 948 2
573000 940 4
574000 935 6
575000 920 6
576000 922 2
577000 906 2
578000 923 2
579000 918 5
580000 917 6
581000 915 3
582000 910 3
583000 910 8
584000 893 5
585000 893 2
586000 891 3
587000 883 6
588000 880 1
589000 880 2
590000 872 3
591000 883 3
592000 871 4
593000 863 6
594000 850 2
595000 834 6
596000 822 3
597000 825 5
598000 826 7
599000 821 1
600000 817 2
601000 828 1
602000 832 5
603000 824 7
604000 828 7
605000 811 6
606000 797 5
607000 792 2
608000 796 6
609000 786 4
610000 783 3
611000 777 5
612000 767 2
613000 762 9
614000 744 3
615000 744 6
616000 747 4
617000 744 9
618000 743 5
619000 737 6
620000 729 4
621000 736 5
622000 736 5
623000 739 3
624000 739 3
625000 745 5
626000 730 3
627000 739 6
628000 726 10
629000 715 3
630000 706 5
631000 697 2
632000 690 7
633000 685 4
634000 665 5
635000 669 9
636000 666 3
637000 669 6
638000 665 10
639000 659 7
640000 650 4
641000 648 6
642000 638 9
643000 624 7
644000 608 9
645000 598 6
646000 591 10
647000 578 9
648000 569 10
649000 559 8
650000 550 5
651000 550 7
652000 549 7
653000 550 8
654000 555 10
655000 543 5
656000 542 3
657000 536 12
658000 523 10
659000 519 8
660000 509 9
661000 515 9
662000 512 7
663000 510 7
664000 512 7
665000 520 11
666000 518 13
667000 512 9
668000 507 7
669000 520 9
670000 527 7
671000 535 7
672000 542 4
673000 545 10
674000 543 10
675000 539 10
676000 524 7
677000 531 6
678000 523 4
679000 527 6
680000 531 9
681000 535 7
682000 541 7
683000 538 8
684000 530 9
685000 525 10
686000 532 5
687000 528 11
688000 508 3
689000 516 12
690000 508 9
691000 497 6
692000 498 7
693000 490 6
694000 482 8
695000 476 6
696000 472 3
697000 475 5
698000 480 10
699000 469 10
700000 452 8
701000 439 9
702000 434 11
703000 429 16
704000 418 13
705000 409 9
706000 405 11
707000 395 9
708000 402 5
709000 403 11
710000 400 16
711000 396 12
712000 401 12
713000 399 13
714000 399 13
715000 401 9
716000 403 10
717000 389 13
718000 382 10
719000 387 10
720000 381 15
721000 383 15
722000 370 11
723000 380 17
724000 373 16
725000 360 15
726000 356 8
727000 357 14
728000 367 13
729000 361 14
730000 351 17
731000 340 11
732000 330 11
733000 321 12
734000 326 9
735000 327 8
736000 334 16
737000 331 14
738000 332 20
739000 320 17
740000 311 8
741000 306 14
742000 308 12
743000 288 13
744000 281 6
745000 283 14
746000 273 16
747000 270 20
748000 271 17
749000 265 22
750000 263 22
751000 262 19
752000 257 12
753000 266 12
754000 278 13
755000 289 13
756000 288 16
757000 282 24
758000 267 23
759000 279 29
760000 265 21
761000 260 24
762000 241 16
763000 233 18
764000 221 29
765000 211 20
766000 196 27
767000 188 32
768000 168 29
769000 160 29
770000 151 33
771000 142 35
772000 130 26
773000 127 33
774000 110 33
775000 99 31
776000 102 29
777000 103 38
778000 97 44
779000 95 46
780000 90 52
781000 80 62
782000 65 62
783000 61 70
784000 47 71
785000 38 73
786000 36 85
787000 35 96
788000 26 97
789000 27 105
790000 20 113
791000 20 122
792000 18 146
793000 14 164
794000 11 181
795000 2 191
796000 5 201
797000 2 213
798000 3 227
799000 4 252
800000 3 268
801000 1 281
802000 3 300
803000 4 315
804000 2 332
805000 2 343
806000 1 357
807000 0 379
808000 2 397
809000 2 412
810000 0 434
811000 1 452
812000 0 472
813000 3 490
814000 3 500
815000 2 507
816000 1 522
817000 2 543
818000 0 551
819000 1 563
820000 1 575
821000 2 582
822000 4 595
823000 0 609
824000 1 625
825000 2 641
826000 0 651
827000 0 661
828000 1 682
829000 2 691
830000 3 702
831000 1 712
832000 0 719
833000 0 738
834000 0 749
835000 0 760
836000 0 769
837000 0 779
838000 0 790
839000 0 800
840000 3 812
841000 1 818
842000 1 825
843000 1 837
844000 0 845
845000 1 851
846000 0 858
847000 0 866
848000 0 879
849000 0 891
850000 0 909
851000 0 920
852000 1 928
853000 0 939
854000 0 946
855000 0 960
856000 0 968
857000 0 975
858000 0 988
859000 0 997
860000 1 1007
861000 0 1018
862000 0 1027
863000 0 1041
864000 0 1057
865000 0 1067
866000 0 1076
867000 1 1085
868000 0 1097
869000 0 1105
870000 1 1119
871000 0 1120
872000 1 1122
873000 0 1132
874000 0 1143
875000 0 1141
876000 3 1144
877000 0 1148
878000 2 1152
879000 0 1154
880000 1 1168
881000 0 1173
882000 1 1175
883000 1 1182
884000 1 1184
885000 0 1186
886000 1 1195
887000 1 1201
888000 0 1203
889000 0 1209
890000 2 1216
891000 1 1215
892000 0 1225
893000 1 1230
894000 0 1229
895000 0 1236
896000 0 1245
897000 1 1253
898000 0 1259
899000 1 1267
900000 1 1267
901000 0 1273
902000 0 1276
903000 1 1280
904000 0 1284
905000 1 1293
906000 0 1301
907000 0 1304
908000 0 1310
909000 1 1313
910000 1 1314
911000 0 1320
912000 0 1325
913000 1 1331
914000 0 1338
915000 2 1343
916000 0 1346
917000 0 1351
918000 0 1365
919000 0 1367
920000 0 1370
921000 1 1372
922000 0 1374
923000 0 1373
924000 0 1380
925000 0 1384
926000 0 1386
927000 1 1388
928000 0 1380
929000 2 1385
930000 0 1388
931000 0 1395
932000 1 1399
933000 1 1405
934000 1 1402
935000 1 1401
936000 1 1403
937000 1 1402
938000 1 1397
939000 0 1397
940000 0 1396
941000 0 1394
942000 0 1401
943000 0 1406
944000 0 1408
945000 0 1407
946000 0 1415
947000 0 1424
948000 0 1427
949000 0 1430
950000 0 1434
951000 0 1437
952000 0 1439
953000 1 1437
954000 1 1442
955000 0 1440
956000 0 1437
957000 0 1437
958000 0 1434
959000 0 1437
960000 1 1439
961000 1 1441
962000 0 1442
963000 0 1444
964000 0 1448
965000 0 1455
966000 0 1460
967000 0 1459
968000 1 1463
969000 0 1454
970000 0 1451
971000 0 1451
972000 0 1452
973000 0 1451
974000 0 1453
975000 0 1464
976000 0 1467
977000 1 1472
978000 1 1464
979000 0 1466
980000 0 1466
981000 1 1467
982000 1 1467
983000 1 1469
984000 0 1474
985000 1 1479
986000 0 1483
987000 0 1486
988000 0 1491
989000 0 1493
990000 0 1495
991000 0 1500
992000 0 1502
993000 0 1500
994000 0 1501
995000 0 1497
996000 1 1503
997000 0 1506
998000 0 1505
999000 1 1506
1000000 0 1500
1001000 1 1504
1002000 0 1505
1003000 1 1508
1004000 0 1509
1005000 0 1511
1006000 0 1511
1007000 0 1512
1008000 0 1512
1009000 0 1508
1010000 0 1508
1011000 0 1507
1012000 0 1509
1013000 0 1511
1014000 0 1504
1015000 1 1504
1016000 1 1499
1017000 0 1499
1018000 0 1495
1019000 3 1494
1020000 0 1495
1021000 4 1495
1022000 1 1488
1023000 1 1485
1024000 0 1482
1025000 0 1483
1026000 1 1480
1027000 0 1478
1028000 1 1479
1029000 1 1475
1030000 2 1473
1031000 0 1469
1032000 1 1473
1033000 0 1473
1034000 1 1469
1035000 1 1470
1036000 1 1471
1037000 1 1469
1038000 1 1464
1039000 0 1467
1040000 0 1458
1041000 0 1466
1042000 0 1467
1043000 0 1459
1044000 1 1458
1045000 1 1463
1046000 0 1467
1047000 0 1474
1048000 0 1474
1049000 0 1478
1050000 0 1479
1051000 0 1482
1052000 1 1477
1053000 0 1471
1054000 0 1466
1055000 2 1467
1056000 1 1458
1057000 0 1453
1058000 0 1447
1059000 0 1447
1060000 1 1444
1061000 0 1441
1062000 0 1441
1063000 2 1440
1064000 0 1438
1065000 0 1440
1066000 1 1441
1067000 1 1438
1068000 1 1437
1069000 0 1437
1070000 0 1445
1071000 0 1451
1072000 1 1450
1073000 0 1449
1074000 1 1450
1075000 2 1452
1076000 0 1452
1077000 0 1450
1078000 0 1453
1079000 0 1450
1080000 0 1444
1081000 0 1440
1082000 0 1441
1083000 0 1446
1084000 0 1438
1085000 2 1436
