	time(s)     copy nums
   2.2013311e-06   5.9644259e+02
   2.2735967e-06   5.9627940e+02
   2.3482346e-06   5.9611085e+02
   2.4253227e-06   5.9592431e+02
   2.5049415e-06   5.9571645e+02
   2.5871741e-06   5.9550176e+02
   2.6721062e-06   5.9528313e+02
   2.7598264e-06   5.9508298e+02
   2.8504263e-06   5.9487625e+02
   2.9440005e-06   5.9466274e+02
   3.0406465e-06   5.9444222e+02
   3.1404652e-06   5.9421446e+02
   3.2435608e-06   5.9397380e+02
   3.3500408e-06   5.9370636e+02
   3.4600164e-06   5.9343013e+02
   3.5736022e-06   5.9316574e+02
   3.6909169e-06   5.9291682e+02
   3.8120828e-06   5.9265973e+02
   3.9372263e-06   5.9239420e+02
   4.0664781e-06   5.9211996e+02
   4.1999729e-06   5.9183671e+02
   4.3378502e-06   5.9147693e+02
   4.4802537e-06   5.9105433e+02
   4.6273320e-06   5.9061786e+02
   4.7792386e-06   5.9016706e+02
   4.9361321e-06   5.8970146e+02
   5.0981761e-06   5.8922057e+02
   5.2655396e-06   5.8852506e+02
   5.4383974e-06   5.8776056e+02
   5.6169298e-06   5.8719605e+02
   5.8013231e-06   5.8679447e+02
   5.9917697e-06   5.8637970e+02
   6.1884682e-06   5.8595132e+02
   6.3916241e-06   5.8550888e+02
   6.6014491e-06   5.8506868e+02
   6.8181623e-06   5.8463254e+02
   7.0419898e-06   5.8418207e+02
   7.2731651e-06   5.8367983e+02
   7.5119295e-06   5.8314164e+02
   7.7585321e-06   5.8258578e+02
   8.0132301e-06   5.8200398e+02
   8.2762895e-06   5.8139714e+02
   8.5479845e-06   5.8082032e+02
   8.8285988e-06   5.8024443e+02
   9.1184252e-06   5.7968818e+02
   9.4177660e-06   5.7911366e+02
   9.7269336e-06   5.7847114e+02
   1.0046251e-05   5.7778593e+02
   1.0376050e-05   5.7689472e+02
   1.0716676e-05   5.7567462e+02
   1.1068485e-05   5.7457906e+02
   1.1431843e-05   5.7371728e+02
   1.1807128e-05   5.7296542e+02
   1.2194734e-05   5.7219961e+02
   1.2595065e-05   5.7140867e+02
   1.3008537e-05   5.7006315e+02
   1.3435583e-05   5.6877384e+02
   1.3876648e-05   5.6743561e+02
   1.4332192e-05   5.6662514e+02
   1.4802691e-05   5.6579877e+02
   1.5288636e-05   5.6495579e+02
   1.5790533e-05   5.6416207e+02
   1.6308907e-05   5.6324687e+02
   1.6844298e-05   5.6229774e+02
   1.7397264e-05   5.6123681e+02
   1.7968384e-05   5.6010774e+02
   1.8558252e-05   5.5895744e+02
   1.9167485e-05   5.5779789e+02
   1.9796718e-05   5.5638712e+02
   2.0446607e-05   5.5482590e+02
   2.1117830e-05   5.5296989e+02
   2.1811089e-05   5.5037399e+02
   2.2527106e-05   5.4819211e+02
   2.3266629e-05   5.4630356e+02
   2.4030429e-05   5.4454802e+02
   2.4819303e-05   5.4272189e+02
   2.5634074e-05   5.4071477e+02
   2.6475593e-05   5.3878403e+02
   2.7344737e-05   5.3743262e+02
   2.8242413e-05   5.3614297e+02
   2.9169559e-05   5.3474970e+02
   3.0127141e-05   5.3333111e+02
   3.1116158e-05   5.3138816e+02
   3.2137643e-05   5.2933159e+02
   3.3192662e-05   5.2762862e+02
   3.4282315e-05   5.2496360e+02
   3.5407739e-05   5.2260080e+02
   3.6570109e-05   5.1974284e+02
   3.7770637e-05   5.1684351e+02
   3.9010576e-05   5.1355336e+02
   4.0291220e-05   5.1026779e+02
   4.1613906e-05   5.0690283e+02
   4.2980012e-05   5.0405815e+02
   4.4390965e-05   5.0114723e+02
   4.5848238e-05   4.9826965e+02
   4.7353349e-05   4.9463278e+02
   4.8907871e-05   4.9137996e+02
   5.0513425e-05   4.8761461e+02
   5.2171686e-05   4.8426766e+02
   5.3884384e-05   4.8112571e+02
   5.5653308e-05   4.7795826e+02
   5.7480302e-05   4.7425239e+02
   5.9367272e-05   4.7109642e+02
   6.1316188e-05   4.6827303e+02
   6.3329084e-05   4.6520905e+02
   6.5408059e-05   4.6206896e+02
   6.7555283e-05   4.5844232e+02
   6.9772996e-05   4.5431914e+02
   7.2063513e-05   4.4968559e+02
   7.4429223e-05   4.4639888e+02
   7.6872595e-05   4.4241266e+02
   7.9396178e-05   4.3744688e+02
   8.2002606e-05   4.3410511e+02
   8.4694598e-05   4.3044174e+02
   8.7474963e-05   4.2544541e+02
   9.0346602e-05   4.2080011e+02
   9.3312512e-05   4.1661365e+02
   9.6375787e-05   4.0972702e+02
   9.9539623e-05   4.0462114e+02
   1.0280732e-04   3.9949712e+02
   1.0618229e-04   3.9372324e+02
   1.0966806e-04   3.8811302e+02
   1.1326826e-04   3.8252248e+02
   1.1698664e-04   3.7820635e+02
   1.2082709e-04   3.7219094e+02
   1.2479362e-04   3.6760844e+02
   1.2889036e-04   3.6027176e+02
   1.3312159e-04   3.5486574e+02
   1.3749172e-04   3.4861336e+02
   1.4200532e-04   3.4141621e+02
   1.4666709e-04   3.3492452e+02
   1.5148189e-04   3.2762066e+02
   1.5645476e-04   3.2099690e+02
   1.6159088e-04   3.1322035e+02
   1.6689560e-04   3.0581018e+02
   1.7237447e-04   2.9893116e+02
   1.7803320e-04   2.9054284e+02
   1.8387770e-04   2.8378517e+02
   1.8991406e-04   2.7680766e+02
   1.9614858e-04   2.7016783e+02
   2.0258777e-04   2.6146384e+02
   2.0923835e-04   2.5468672e+02
   2.1610725e-04   2.4712048e+02
   2.2320165e-04   2.3868421e+02
   2.3052894e-04   2.3186971e+02
   2.3809677e-04   2.2409967e+02
   2.4591304e-04   2.1789172e+02
   2.5398591e-04   2.1101376e+02
   2.6232379e-04   2.0396551e+02
   2.7093539e-04   1.9912730e+02
   2.7982969e-04   1.9254166e+02
   2.8901597e-04   1.8569150e+02
   2.9850382e-04   1.8013535e+02
   3.0830315e-04   1.7447438e+02
   3.1842416e-04   1.6698270e+02
   3.2887743e-04   1.5794302e+02
   3.3967386e-04   1.5061426e+02
   3.5082471e-04   1.4382382e+02
   3.6234163e-04   1.3736339e+02
   3.7423663e-04   1.3158521e+02
   3.8652212e-04   1.2588664e+02
   3.9921091e-04   1.1932838e+02
   4.1231626e-04   1.1361925e+02
   4.2585183e-04   1.0988419e+02
   4.3983175e-04   1.0542702e+02
   4.5427060e-04   1.0020928e+02
   4.6918345e-04   9.4161744e+01
   4.8458586e-04   8.9096720e+01
   5.0049391e-04   8.5013322e+01
   5.1692419e-04   8.0091380e+01
   5.3389384e-04   7.4173750e+01
   5.5142057e-04   7.0055511e+01
   5.6952268e-04   6.4233930e+01
   5.8821904e-04   5.9260062e+01
   6.0752917e-04   5.6649794e+01
   6.2747321e-04   5.3095608e+01
   6.4807198e-04   5.0306763e+01
   6.6934697e-04   4.7065636e+01
   6.9132038e-04   4.2907757e+01
   7.1401513e-04   3.9747997e+01
   7.3745491e-04   3.7201887e+01
   7.6166417e-04   3.3840018e+01
   7.8666818e-04   2.9662247e+01
   8.1249302e-04   2.6598703e+01
   8.3916564e-04   2.4377437e+01
   8.6671388e-04   2.3269505e+01
   8.9516647e-04   2.2395601e+01
   9.2455311e-04   2.0585154e+01
   9.5490446e-04   1.9175376e+01
   9.8625218e-04   1.8481727e+01
   1.0186290e-03   1.8285052e+01
   1.0520687e-03   1.7078972e+01
   1.0866061e-03   1.5307325e+01
   1.1222774e-03   1.4515024e+01
   1.1591196e-03   1.3674919e+01
   1.1971713e-03   1.3097699e+01
   1.2364722e-03   1.2441176e+01
   1.2770633e-03   1.3074979e+01
   1.3189869e-03   1.3148620e+01
   1.3622868e-03   1.2796212e+01
   1.4070081e-03   1.2685014e+01
   1.4531975e-03   1.1339763e+01
   1.5009033e-03   1.1205472e+01
   1.5501751e-03   1.0727060e+01
   1.6010645e-03   9.6355715e+00
   1.6536244e-03   9.1489647e+00
   1.7079098e-03   9.0565309e+00
   1.7639773e-03   9.1854307e+00
   1.8218853e-03   9.4898245e+00
   1.8816944e-03   8.9505941e+00
   1.9434669e-03   9.3621472e+00
   2.0072673e-03   9.4383235e+00
   2.0731621e-03   8.9280303e+00
   2.1412202e-03   9.1680490e+00
   2.2115124e-03   1.1154130e+01
   2.2841122e-03   1.1470731e+01
   2.3590953e-03   9.8492866e+00
   2.4365400e-03   9.2025686e+00
   2.5165271e-03   9.0594137e+00
   2.5991399e-03   9.5262704e+00
   2.6844648e-03   1.0605777e+01
   2.7725908e-03   1.0708411e+01
   2.8636097e-03   1.0680666e+01
   2.9576167e-03   1.0502907e+01
   3.0547097e-03   1.1651143e+01
   3.1549901e-03   1.1428551e+01
   3.2585625e-03   1.2200312e+01
   3.3655350e-03   1.2703148e+01
   3.4760192e-03   1.0888445e+01
   3.5901304e-03   1.0079210e+01
   3.7079876e-03   9.4834429e+00
   3.8297139e-03   8.4130718e+00
   3.9554362e-03   8.9252335e+00
   4.0852858e-03   1.0883088e+01
   4.2193981e-03   1.0456016e+01
   4.3579130e-03   1.0667118e+01
   4.5009751e-03   1.2023766e+01
   4.6487337e-03   1.1499688e+01
   4.8013429e-03   1.1249742e+01
   4.9589620e-03   1.0485450e+01
   5.1217554e-03   9.2803031e+00
   5.2898931e-03   1.0341710e+01
   5.4635504e-03   8.5966667e+00
   5.6429085e-03   1.1085982e+01
   5.8281546e-03   9.7583534e+00
   6.0194820e-03   9.9331104e+00
   6.2170903e-03   8.2732822e+00
   6.4211857e-03   9.7285607e+00
   6.6319812e-03   1.1041055e+01
   6.8496967e-03   9.8273710e+00
   7.0745594e-03   1.0209190e+01
   7.3068040e-03   1.1463918e+01
   7.5466726e-03   1.1356695e+01
   7.7944158e-03   1.0816934e+01
   8.0502918e-03   1.0319352e+01
   8.3145678e-03   1.0219805e+01
   8.5875195e-03   1.0596669e+01
   8.8694317e-03   1.0628069e+01
