t	A	AB	ABC	AC	B	BAC	BC	C	CABC
0.0	99.93774997243969	0.0	0.0	0.0	99.93774997243969	0.0	0.0	3755.0878327422074	0.0
0.001	93.6528433898044	0.004465092480986922	1.5201268307408405E-5	6.277360505193541	93.6528433898044	1.5201268307408405E-5	6.277360505193541	3742.526980164281	0.0030505824444796367
0.002	88.19688067901004	0.00810255702606281	2.6134268750118487E-5	11.712685379646725	88.19688067901004	2.6134268750118487E-5	11.712685379646725	3731.6223515377787	0.02002908824670523
0.003	83.19268947191861	0.011075429387676671	3.563315958737233E-5	16.673817755292507	83.19268947191861	3.563315958737233E-5	16.673817755292507	3721.619933866113	0.060096049540500476
0.004	78.52821353862208	0.01348177828930001	4.466453785369573E-5	21.26570207211529	78.52821353862208	4.466453785369573E-5	21.26570207211529	3712.2958127600937	0.13026325435123404
0.005	74.15272666618228	0.015399431176262673	5.3700091549851695E-5	25.53357907345005	74.15272666618228	5.3700091549851695E-5	25.53357907345005	3703.548692392108	0.23593740145682884
0.006	70.03772416424367	0.016895447823510223	6.305502714598525E-5	29.50185111536739	70.03772416424367	6.305502714598525E-5	29.50185111536739	3695.3216981314026	0.3811531349597312
0.007	66.16338662080742	0.018028844804029956	7.297471542580896E-5	33.187447023821015	66.16338662080742	7.297471542580896E-5	33.187447023821015	3687.575309677866	0.5687415335849882
0.008	62.513658506296906	0.01885166546534165	8.365615934959751E-5	36.60458795878389	62.513658506296906	8.365615934959751E-5	36.60458795878389	3680.277520453057	0.8004845295843083
0.009000000000000001	59.07442396638532	0.019409676547725154	9.525421444572781E-5	39.766463556422295	59.07442396638532	9.525421444572781E-5	39.766463556422295	3673.4001905914893	1.077262264669598
0.010000000000000002	55.832809163429815	0.01974297208728676	1.0788522533622024E-4	42.68579374028151	55.832809163429815	1.0788522533622024E-4	42.68579374028151	3666.9176528386247	1.3991883262226161
0.011000000000000003	52.776883974612204	0.01988659800424016	1.2163105397213139E-4	45.37499692932548	52.776883974612204	1.2163105397213139E-4	45.37499692932548	3660.806117204426	1.765739208435925
0.012000000000000004	49.895528962560135	0.019871072736865093	1.3654295209543783E-4	47.84621435597468	49.895528962560135	1.3654295209543783E-4	47.84621435597468	3655.0434059535246	2.175862495329129
0.013000000000000005	47.178337784819334	0.019722964952468208	1.5264601690365595E-4	50.11130232765002	47.178337784819334	1.5264601690365595E-4	50.11130232765002	3649.608759588803	2.6280816029673404
0.014000000000000005	44.615590511133014	0.019465261096642487	1.699430387119284E-4	52.18176966665528	44.615590511133014	1.699430387119284E-4	52.18176966665528	3644.4827842276977	3.1205846474856096
0.015000000000000006	42.19815949457289	0.019117918988813352	1.8841829381816458E-4	54.06879601089552	42.19815949457289	1.8841829381816458E-4	54.06879601089552	3639.6472644608016	3.65129971142665
0.016000000000000007	39.917493612378365	0.018698173004762442	2.080408905641139E-4	55.78317580799186	39.917493612378365	2.080408905641139E-4	55.78317580799186	3635.0851324496	4.217966297331856
0.017000000000000008	37.76557309962642	0.01822088170466588	2.2876779057222409E-4	57.33530588677277	37.76557309962642	2.2876779057222409E-4	57.33530588677277	3630.7803782952474	4.818192568816004
0.01800000000000001	35.73487330313874	0.01769882414013876	2.5054640638601553E-4	58.73517171254971	35.73487330313874	2.5054640638601553E-4	58.73517171254971	3626.717978144351	5.44950503987429
0.01900000000000001	33.81833486680834	0.017142948613756093	2.7331688690622675E-4	59.99233457018327	33.81833486680834	2.7331688690622675E-4	59.99233457018327	3622.8838350615597	6.109390953149757
0.02000000000000001	32.00932895110458	0.016562618959324028	2.9701415621574863E-4	61.11593019343938	32.00932895110458	2.9701415621574863E-4	61.11593019343938	3619.2647099652745	6.795334180751776
0.02100000000000001	30.301620824746095	0.01596584004734115	3.2156952387784297E-4	62.114677605846	30.301620824746095	3.2156952387784297E-4	62.114677605846	3615.848149265484	7.504842562879769
0.022000000000000013	28.68936517976452	0.015359364662233269	3.469121636214079E-4	62.996856973869285	28.68936517976452	3.469121636214079E-4	62.996856973869285	3612.6224757100067	8.235474629953037
0.023000000000000013	27.167064924900753	0.0147489024371202	3.729702932649215E-4	63.7703347062049	27.167064924900753	3.729702932649215E-4	63.7703347062049	3609.5767063921217	8.984855498435817
0.024000000000000014	25.729550737384056	0.0141392495902704	3.996721487296079E-4	64.44256815803203	25.729550737384056	3.996721487296079E-4	64.44256815803203	3606.700512114975	9.750692483308633
0.025000000000000015	24.371965228554387	0.013534403132528265	4.2694693534440765E-4	65.02060692894914	24.371965228554387	4.2694693534440765E-4	65.02060692894914	3603.984185953982	10.530789518105662
0.026000000000000016	23.08973808756727	0.012937663692600512	4.547252746979875E-4	65.51111499742056	23.08973808756727	4.547252746979875E-4	65.51111499742056	3601.4185937498005	11.32304977338203
0.027000000000000017	21.878569852474094	0.012351734655596566	4.8293986547317337E-4	65.92037769641986	21.878569852474094	4.8293986547317337E-4	65.92037769641986	3598.9951418507153	12.125484809332809
0.028000000000000018	20.734418900929107	0.011778792669245882	5.11525922468616E-4	66.25431021860706	20.734418900929107	5.11525922468616E-4	66.25431021860706	3596.705751235744	12.936219008579055
0.02900000000000002	19.653479784261712	0.011220571349953723	5.404214045125425E-4	66.51848003326305	19.653479784261712	5.404214045125425E-4	66.51848003326305	3594.542814350409	13.753488741095483
0.03000000000000002	18.63216357490813	0.010678430182776153	5.695671140938261E-4	66.71812932673586	18.63216357490813	5.695671140938261E-4	66.71812932673586	3592.499155940434	14.575639506886901
