t	A	AB	ABC	AC	B	BAC	BC	C CABC
0.0	95.63386147007154	0.0	0.0	0.0	95.63386147007154	0.0	0.0	3755.083181608312	0.0
0.001	91.023005740848	0.004457015363905434	1.1953465015071659E-4	4.60059922637403	91.023005740848	1.1953465015071659E-4	4.60059922637403	3745.867345529064	0.0071992782959260145
0.002	89.19689841484843	0.00878063672935969	7.795695410767378E-5	6.411655762558236	89.19689841484843	7.795695410767378E-5	6.411655762558236	3742.2223986593945	0.01865775464618362
0.003	88.2051866583709	0.01305739122927677	5.830016861681538E-5	7.386760946895338	88.2051866583709	5.830016861681538E-5	7.386760946895338	3740.246786724281	0.031378194668799146
0.004	87.48201180740745	0.01727192443341926	5.246275145395737E-5	8.09171913864511	87.48201180740745	5.246275145395737E-5	8.09171913864511	3738.808342832027	0.04564778646469159
0.005	86.86048706059351	0.021422245319624094	5.153065014386501E-5	8.69329653372339	86.86048706059351	5.153065014386501E-5	8.69329653372339	3737.5731528179745	0.06166633052069893
0.006	86.28937246402614	0.025511424997232413	5.213532133381016E-5	9.242685080517038	86.28937246402614	5.213532133381016E-5	9.242685080517038	3736.4386997220126	0.07950372704332415
0.007	85.75130910332017	0.02954333903461129	5.318777574436401E-5	9.757230561755968	85.75130910332017	5.318777574436401E-5	9.757230561755968	3735.37025893937	0.09917758467568584
0.008	85.23913817128158	0.03352158019947726	5.436224743989189E-5	10.2440926463549	85.23913817128158	5.436224743989189E-5	10.2440926463549	3734.353514297902	0.12068664634820793
0.009000000000000001	84.74898694083578	0.03744927285296521	5.55719732049382E-5	10.707150877942086	84.74898694083578	5.55719732049382E-5	10.707150877942086	3733.3807236653774	0.14402252129851306
0.010000000000000002	84.27820944949016	0.04132910338966953	5.680089905177947E-5	11.149061013836073	84.27820944949016	5.680089905177947E-5	11.149061013836073	3732.4465985767483	0.1691737007955937
0.011000000000000003	83.82474100849875	0.04516338953414053	5.8051892907419075E-5	11.571899339506013	83.82474100849875	5.8051892907419075E-5	11.571899339506013	3731.5470128281454	0.19612699843125334
0.012000000000000004	83.38687197873162	0.04895414561455222	5.933143892349681E-5	11.977388362463158	83.38687197873162	5.933143892349681E-5	11.977388362463158	3730.6785499680273	0.22486812598848818
0.013000000000000005	82.96314820716408	0.05270313858470918	6.064554936209519E-5	12.36699608315093	82.96314820716408	6.064554936209519E-5	12.36699608315093	3729.8383042025266	0.255381973939922
0.014000000000000005	82.55231836471405	0.056411929916802044	6.199896499984589E-5	12.741988478055651	82.55231836471405	6.199896499984589E-5	12.741988478055651	3729.023775116938	0.287652768422965
0.015000000000000006	82.15329732264995	0.06008190997633177	6.339525406103143E-5	13.103465993099139	82.15329732264995	6.339525406103143E-5	13.103465993099139	3728.2327944702497	0.3216641804369756
0.016000000000000007	81.76513638110323	0.06371432748732576	6.483697879551796E-5	13.45239321616367	81.76513638110323	6.483697879551796E-5	13.45239321616367	3727.46346669125	0.35739940514599305
0.017000000000000008	81.38700322341604	0.06731030987871851	6.632596631060904E-5	13.789618847397564	81.38700322341604	6.632596631060904E-5	13.789618847397564	3726.714128813603	0.39484122375621855
0.01800000000000001	81.0181630105559	0.07087088231423402	6.78635088299317E-5	14.115894534558757	81.0181630105559	6.78635088299317E-5	14.115894534558757	3725.9833126900676	0.43397206082297674
0.01900000000000001	80.65796429566662	0.07439698156247541	6.945046670571671E-5	14.431888918322535	80.65796429566662	6.945046670571671E-5	14.431888918322535	3725.2697168395216	0.474774015369396
0.02000000000000001	80.30582587053749	0.07788946930708027	7.108737736762355E-5	14.738200731591842	80.30582587053749	7.108737736762355E-5	14.738200731591842	3724.572180156692	0.5172289066179139
0.02100000000000001	79.96122760450474	0.08134914114284221	7.277453732251251E-5	15.035367923578574	79.96122760450474	7.277453732251251E-5	15.035367923578574	3723.889663602597	0.5613183045148159
0.022000000000000013	79.62370412749902	0.08477673281249816	7.451209485571528E-5	15.323873951582206	79.62370412749902	7.451209485571528E-5	15.323873951582206	3723.221237578526	0.6070235509916846
0.023000000000000013	79.29283473975546	0.088172930263627	7.630005637353232E-5	15.604157833878263	79.29283473975546	7.630005637353232E-5	15.604157833878263	3722.5660617575904	0.6543257911936687
0.024000000000000014	78.96823756967518	0.09153837528291552	7.813827399046358E-5	15.876619969224667	78.96823756967518	7.813827399046358E-5	15.876619969224667	3721.923373408898	0.7032059919933833
0.025000000000000015	78.64956626708533	0.09487366903276426	8.002652772427359E-5	16.14162541360636	78.64956626708533	8.002652772427359E-5	16.14162541360636	3721.292480787816	0.7536449698992429
0.026000000000000016	78.33650510784241	0.09817937682760366	8.196454704862092E-5	16.39950875822009	78.33650510784241	8.196454704862092E-5	16.39950875822009	3720.6727533519634	0.8056234051988538
0.027000000000000017	78.02876551502706	0.1014560316348899	8.395198904993503E-5	16.65057758592461	78.02876551502706	8.395198904993503E-5	16.65057758592461	3720.063614807731	0.8591218621773152
0.028000000000000018	77.72608283719393	0.10470413736229066	8.598846649557137E-5	16.895115672952375	77.72608283719393	8.598846649557137E-5	16.895115672952375	3719.464536671354	0.9141208068558782
0.02900000000000002	77.42821325527396	0.10792417208340443	8.807355775317903E-5	17.133386065703352	77.42821325527396	8.807355775317903E-5	17.133386065703352	3718.875032086861	0.970600621260565
0.03000000000000002	77.13493246408053	0.11111658931220375	9.020681556624819E-5	17.365632378159702	77.13493246408053	9.020681556624819E-5	17.365632378159702	3718.2946531907123	1.028541623629302
0.03100000000000002	76.84603344803878	0.11428182018796054	9.238776669162349E-5	17.59208100884198	76.84603344803878	9.238776669162349E-5	17.59208100884198	3717.7229866661037	1.087924074306309
0.03200000000000002	76.56132550623664	0.11742027431215171	9.461592785385899E-5	17.812942098937288	76.56132550623664	9.461592785385899E-5	17.812942098937288	3717.1596517940143	1.1487281920984482
0.03300000000000002	76.28062706124337	0.12053234889648988	9.689074944735381E-5	18.028416698767458	76.28062706124337	9.689074944735381E-5	18.028416698767458	3716.604286084026	1.2109341724598854
