	time(s)		A copies
   4.6953900e-08   9.9996473e+04
   4.8048704e-08   9.9996389e+04
   4.9169036e-08   9.9996303e+04
   5.0315489e-08   9.9996215e+04
   5.1488675e-08   9.9996125e+04
   5.2689214e-08   9.9996033e+04
   5.3917746e-08   9.9995939e+04
   5.5174924e-08   9.9995842e+04
   5.6461414e-08   9.9995743e+04
   5.7777901e-08   9.9995642e+04
   5.9125084e-08   9.9995539e+04
   6.0503679e-08   9.9995433e+04
   6.1914418e-08   9.9995325e+04
   6.3358050e-08   9.9995214e+04
   6.4835343e-08   9.9995101e+04
   6.6347081e-08   9.9994985e+04
   6.7894068e-08   9.9994866e+04
   6.9477125e-08   9.9994745e+04
   7.1097094e-08   9.9994620e+04
   7.2754835e-08   9.9994493e+04
   7.4451229e-08   9.9994363e+04
   7.6187177e-08   9.9994230e+04
   7.7963601e-08   9.9994093e+04
   7.9781446e-08   9.9993954e+04
   8.1641676e-08   9.9993811e+04
   8.3545281e-08   9.9993665e+04
   8.5493271e-08   9.9993515e+04
   8.7486681e-08   9.9993362e+04
   8.9526571e-08   9.9993206e+04
   9.1614025e-08   9.9993046e+04
   9.3750150e-08   9.9992882e+04
   9.5936083e-08   9.9992714e+04
   9.8172984e-08   9.9992542e+04
   1.0046204e-07   9.9992367e+04
   1.0280447e-07   9.9992187e+04
   1.0520152e-07   9.9992003e+04
   1.0765446e-07   9.9991815e+04
   1.1016459e-07   9.9991622e+04
   1.1273326e-07   9.9991425e+04
   1.1536181e-07   9.9991223e+04
   1.1805165e-07   9.9991017e+04
   1.2080421e-07   9.9990806e+04
   1.2362095e-07   9.9990589e+04
   1.2650337e-07   9.9990368e+04
   1.2945300e-07   9.9990142e+04
   1.3247140e-07   9.9989910e+04
   1.3556018e-07   9.9989673e+04
   1.3872098e-07   9.9989431e+04
   1.4195548e-07   9.9989183e+04
   1.4526539e-07   9.9988929e+04
   1.4865248e-07   9.9988669e+04
   1.5211855e-07   9.9988403e+04
   1.5566544e-07   9.9988131e+04
   1.5929502e-07   9.9987852e+04
   1.6300924e-07   9.9987567e+04
   1.6681005e-07   9.9987275e+04
   1.7069949e-07   9.9986977e+04
   1.7467962e-07   9.9986672e+04
   1.7875255e-07   9.9986359e+04
   1.8292045e-07   9.9986039e+04
   1.8718553e-07   9.9985712e+04
   1.9155006e-07   9.9985377e+04
   1.9601635e-07   9.9985034e+04
   2.0058678e-07   9.9984684e+04
   2.0526378e-07   9.9984325e+04
   2.1004982e-07   9.9983958e+04
   2.1494747e-07   9.9983582e+04
   2.1995931e-07   9.9983197e+04
   2.2508801e-07   9.9982804e+04
   2.3033629e-07   9.9982401e+04
   2.3570694e-07   9.9981989e+04
   2.4120282e-07   9.9981567e+04
   2.4682685e-07   9.9981136e+04
   2.5258200e-07   9.9980694e+04
   2.5847135e-07   9.9980242e+04
   2.6449802e-07   9.9979780e+04
   2.7066521e-07   9.9979307e+04
   2.7697619e-07   9.9978823e+04
   2.8343433e-07   9.9978327e+04
   2.9004305e-07   9.9977820e+04
   2.9680586e-07   9.9977301e+04
   3.0372636e-07   9.9976771e+04
   3.1080822e-07   9.9976227e+04
   3.1805520e-07   9.9975671e+04
   3.2547116e-07   9.9975102e+04
   3.3306003e-07   9.9974520e+04
   3.4082585e-07   9.9973925e+04
   3.4877275e-07   9.9973315e+04
   3.5690493e-07   9.9972691e+04
   3.6522674e-07   9.9972053e+04
   3.7374257e-07   9.9971399e+04
   3.8245697e-07   9.9970731e+04
   3.9137456e-07   9.9970047e+04
   4.0050008e-07   9.9969347e+04
   4.0983837e-07   9.9968631e+04
   4.1939440e-07   9.9967898e+04
   4.2917324e-07   9.9967148e+04
   4.3918009e-07   9.9966380e+04
   4.4942027e-07   9.9965595e+04
   4.5989921e-07   9.9964791e+04
   4.7062248e-07   9.9963969e+04
   4.8159579e-07   9.9963127e+04
   4.9282496e-07   9.9962266e+04
   5.0431595e-07   9.9961384e+04
   5.1607487e-07   9.9960483e+04
   5.2810797e-07   9.9959560e+04
   5.4042164e-07   9.9958615e+04
   5.5302243e-07   9.9957649e+04
   5.6591702e-07   9.9956660e+04
   5.7911226e-07   9.9955648e+04
   5.9261518e-07   9.9954613e+04
   6.0643294e-07   9.9953553e+04
   6.2057288e-07   9.9952469e+04
   6.3504252e-07   9.9951360e+04
   6.4984954e-07   9.9950224e+04
   6.6500180e-07   9.9949063e+04
   6.8050737e-07   9.9947874e+04
   6.9637447e-07   9.9946657e+04
   7.1261154e-07   9.9945412e+04
   7.2922721e-07   9.9944138e+04
   7.4623029e-07   9.9942835e+04
   7.6362983e-07   9.9941501e+04
   7.8143506e-07   9.9940136e+04
   7.9965545e-07   9.9938739e+04
   8.1830068e-07   9.9937310e+04
   8.3738065e-07   9.9935847e+04
   8.5690551e-07   9.9934351e+04
   8.7688561e-07   9.9932819e+04
   8.9733158e-07   9.9931252e+04
   9.1825428e-07   9.9929648e+04
   9.3966483e-07   9.9928008e+04
   9.6157460e-07   9.9926328e+04
   9.8399523e-07   9.9924610e+04
   1.0069386e-06   9.9922852e+04
   1.0304170e-06   9.9921053e+04
   1.0544428e-06   9.9919212e+04
   1.0790288e-06   9.9917328e+04
   1.1041881e-06   9.9915400e+04
   1.1299339e-06   9.9913427e+04
   1.1562801e-06   9.9911409e+04
   1.1832406e-06   9.9909343e+04
   1.2108298e-06   9.9907229e+04
   1.2390622e-06   9.9905067e+04
   1.2679528e-06   9.9902853e+04
   1.2975172e-06   9.9900589e+04
   1.3277708e-06   9.9898271e+04
   1.3587299e-06   9.9895900e+04
   1.3904108e-06   9.9893474e+04
   1.4228305e-06   9.9890991e+04
   1.4560060e-06   9.9888450e+04
   1.4899551e-06   9.9885850e+04
   1.5246957e-06   9.9883190e+04
   1.5602464e-06   9.9880468e+04
   1.5966260e-06   9.9877682e+04
   1.6338539e-06   9.9874832e+04
   1.6719498e-06   9.9871916e+04
   1.7109339e-06   9.9868931e+04
   1.7508270e-06   9.9865878e+04
   1.7916503e-06   9.9862753e+04
   1.8334255e-06   9.9859555e+04
   1.8761747e-06   9.9856284e+04
   1.9199207e-06   9.9852936e+04
   1.9646866e-06   9.9849510e+04
   2.0104964e-06   9.9846005e+04
   2.0573743e-06   9.9842418e+04
   2.1053452e-06   9.9838748e+04
   2.1544347e-06   9.9834992e+04
   2.2046687e-06   9.9831150e+04
   2.2560741e-06   9.9827218e+04
   2.3086780e-06   9.9823194e+04
   2.3625085e-06   9.9819078e+04
   2.4175941e-06   9.9814865e+04
   2.4739641e-06   9.9810555e+04
   2.5316485e-06   9.9806144e+04
   2.5906779e-06   9.9801631e+04
