	time (s)	 A copies (not exactly 1E5 due to volume/conc precision)
   1.9456839e-02   6.3165526e+03
   1.9847038e-02   6.2006197e+03
   2.0237237e-02   6.0888987e+03
   2.0627436e-02   5.9811647e+03
   2.1017635e-02   5.8772087e+03
   2.1407834e-02   5.7768359e+03
   2.1798033e-02   5.6798647e+03
   2.2387696e-02   5.5394044e+03
   2.2977359e-02   5.4057902e+03
   2.3567021e-02   5.2785349e+03
   2.4156684e-02   5.1571966e+03
   2.4746347e-02   5.0413734e+03
   2.5336010e-02   4.9306991e+03
   2.5925673e-02   4.8248393e+03
   2.6515335e-02   4.7234878e+03
   2.7104998e-02   4.6263638e+03
   2.7694661e-02   4.5332093e+03
   2.8284324e-02   4.4437872e+03
   2.8873987e-02   4.3578786e+03
   2.9463649e-02   4.2752814e+03
   3.0053312e-02   4.1958088e+03
   3.0642975e-02   4.1192879e+03
   3.1232638e-02   4.0455580e+03
   3.1822301e-02   3.9744702e+03
   3.2411964e-02   3.9058859e+03
   3.3001626e-02   3.8396758e+03
   3.3591289e-02   3.7757197e+03
   3.4482883e-02   3.6830484e+03
   3.5374478e-02   3.5949180e+03
   3.6266072e-02   3.5110050e+03
   3.7157666e-02   3.4310162e+03
   3.8049260e-02   3.3546847e+03
   3.8940854e-02   3.2817675e+03
   3.9832449e-02   3.2120426e+03
   4.0724043e-02   3.1453067e+03
   4.1615637e-02   3.0813737e+03
   4.2507231e-02   3.0200722e+03
   4.3398825e-02   2.9612449e+03
   4.4290420e-02   2.9047466e+03
   4.5182014e-02   2.8504433e+03
   4.6073608e-02   2.7982110e+03
   4.6965202e-02   2.7479349e+03
   4.7856796e-02   2.6995085e+03
   4.8748391e-02   2.6528331e+03
   4.9639985e-02   2.6078166e+03
   5.0531579e-02   2.5643735e+03
   5.1423173e-02   2.5224239e+03
   5.2314767e-02   2.4818932e+03
   5.3206362e-02   2.4427119e+03
   5.4097956e-02   2.4048147e+03
   5.4989550e-02   2.3681407e+03
   5.5881144e-02   2.3326326e+03
   5.6772738e-02   2.2982367e+03
   5.8139883e-02   2.2475407e+03
