	time(us)     A(t)              StDev(A)
   1.1300000e-02   5.0791667e+01   7.6441462e+00
   1.1400000e-02   5.0500000e+01   7.4366893e+00
   1.1500000e-02   5.0333333e+01   7.4697457e+00
   1.1600000e-02   5.0000000e+01   7.4891225e+00
   1.1700000e-02   4.9625000e+01   7.5803665e+00
   1.1800000e-02   4.9333333e+01   7.6138699e+00
   1.1900000e-02   4.8958333e+01   7.4453322e+00
   1.2000000e-02   4.8708333e+01   7.4277925e+00
   1.2100000e-02   4.8333333e+01   7.2930382e+00
   1.2200000e-02   4.8083333e+01   7.2045678e+00
   1.2300000e-02   4.7708333e+01   7.1413016e+00
   1.2400000e-02   4.7625000e+01   7.1128329e+00
   1.2500000e-02   4.7375000e+01   7.1433307e+00
   1.2600000e-02   4.6958333e+01   7.2859553e+00
   1.2700000e-02   4.6916667e+01   7.2706478e+00
   1.2800000e-02   4.6708333e+01   7.2260349e+00
   1.2900000e-02   4.6208333e+01   7.2470634e+00
   1.3000000e-02   4.5916667e+01   7.2526857e+00
   1.3100000e-02   4.5541667e+01   7.5006038e+00
   1.3200000e-02   4.5166667e+01   7.1909766e+00
   1.3300000e-02   4.4958333e+01   7.1107950e+00
   1.3400000e-02   4.4666667e+01   7.0628647e+00
   1.3500000e-02   4.4458333e+01   7.0893623e+00
   1.3600000e-02   4.4125000e+01   7.0668393e+00
   1.3700000e-02   4.3916667e+01   6.9214014e+00
   1.3800000e-02   4.3666667e+01   6.9948221e+00
   1.3900000e-02   4.3375000e+01   7.1005970e+00
   1.4000000e-02   4.3041667e+01   7.0801570e+00
   1.4100000e-02   4.2625000e+01   7.1979013e+00
   1.4200000e-02   4.2458333e+01   7.1686465e+00
   1.4300000e-02   4.2291667e+01   7.2139910e+00
   1.4400000e-02   4.2125000e+01   7.2550582e+00
   1.4500000e-02   4.1791667e+01   7.1625789e+00
   1.4600000e-02   4.1583333e+01   7.2346790e+00
   1.4700000e-02   4.1541667e+01   7.1321633e+00
   1.4800000e-02   4.1375000e+01   7.1736989e+00
   1.4900000e-02   4.1000000e+01   7.2471884e+00
   1.5000000e-02   4.0791667e+01   7.2829710e+00
   1.5100000e-02   4.0625000e+01   7.2520612e+00
   1.5200000e-02   4.0333333e+01   7.2331764e+00
   1.5300000e-02   4.0083333e+01   7.2045678e+00
   1.5400000e-02   3.9916667e+01   7.2885656e+00
   1.5500000e-02   3.9750000e+01   7.2186353e+00
   1.5600000e-02   3.9458333e+01   7.2109769e+00
   1.5700000e-02   3.9291667e+01   7.2740107e+00
   1.5800000e-02   3.9083333e+01   7.2226496e+00
   1.5900000e-02   3.8875000e+01   7.1463734e+00
   1.6000000e-02   3.8750000e+01   7.2005435e+00
   1.6100000e-02   3.8541667e+01   7.0709397e+00
