t	(Var=A_Count) A_Count	(Var=AB_Count) AB_Count	(Var=ABC_Count) ABC_Count	(Var=AC_Count) AC_Count	(Var=B_Count) B_Count	(Var=BAC_Count) BAC_Count	(Var=BC_Count) BC_Count	(Var=C_Count) C_Count	(Var=CABC_Count) CABC_Count
0.0	665.0	0.0	0.0	0.0	665.0	0.0	0.0	3755.0	0.0
3.392009103E-6	665.0	0.0	0.0	0.0	664.0	0.0	1.0	3754.0	0.0
3.673709456E-5	664.0	0.0	0.0	1.0	664.0	0.0	1.0	3753.0	0.0
5.431834358E-5	663.0	0.0	0.0	2.0	664.0	0.0	1.0	3752.0	0.0
9.827940874E-5	663.0	0.0	0.0	2.0	663.0	0.0	2.0	3751.0	0.0
1.056590652E-4	663.0	0.0	0.0	2.0	662.0	0.0	3.0	3750.0	0.0
1.168821725E-4	662.0	0.0	0.0	3.0	662.0	0.0	3.0	3749.0	0.0
1.270490921E-4	661.0	0.0	0.0	4.0	662.0	0.0	3.0	3748.0	0.0
1.729902903E-4	661.0	0.0	0.0	4.0	661.0	0.0	4.0	3747.0	0.0
2.433996445E-4	660.0	0.0	0.0	5.0	661.0	0.0	4.0	3746.0	0.0
3.142939416E-4	660.0	0.0	0.0	5.0	660.0	0.0	5.0	3745.0	0.0
3.478966858E-4	660.0	0.0	0.0	5.0	659.0	0.0	6.0	3744.0	0.0
3.527346381E-4	659.0	0.0	0.0	6.0	659.0	0.0	6.0	3743.0	0.0
5.679641977E-4	658.0	0.0	0.0	7.0	659.0	0.0	6.0	3742.0	0.0
5.936366746E-4	657.0	0.0	0.0	8.0	659.0	0.0	6.0	3741.0	0.0
8.280094567E-4	657.0	0.0	0.0	8.0	658.0	0.0	7.0	3740.0	0.0
8.734117105E-4	657.0	0.0	0.0	8.0	657.0	0.0	8.0	3739.0	0.0
0.001067362542	657.0	0.0	0.0	8.0	656.0	0.0	9.0	3738.0	0.0
0.001093051607	657.0	0.0	0.0	8.0	655.0	0.0	10.0	3737.0	0.0
0.001320309819	657.0	0.0	0.0	8.0	654.0	0.0	11.0	3736.0	0.0
0.001367490574	656.0	0.0	0.0	9.0	654.0	0.0	11.0	3735.0	0.0
0.001398450783	656.0	0.0	0.0	9.0	653.0	0.0	12.0	3734.0	0.0
0.001459285785	655.0	0.0	0.0	10.0	653.0	0.0	12.0	3733.0	0.0
0.001483536579	655.0	0.0	0.0	10.0	652.0	0.0	13.0	3732.0	0.0
0.00158444486	654.0	0.0	0.0	11.0	652.0	0.0	13.0	3731.0	0.0
0.001666996091	654.0	0.0	0.0	11.0	651.0	0.0	14.0	3730.0	0.0
0.001677785904	654.0	0.0	0.0	11.0	650.0	0.0	15.0	3729.0	0.0
0.001697775197	654.0	0.0	0.0	11.0	649.0	0.0	16.0	3728.0	0.0
0.00170105991	653.0	0.0	0.0	12.0	649.0	0.0	16.0	3727.0	0.0
0.001825006769	652.0	0.0	0.0	13.0	649.0	0.0	16.0	3726.0	0.0
0.001984722353	651.0	0.0	0.0	14.0	649.0	0.0	16.0	3725.0	0.0
0.002047229963	650.0	0.0	0.0	15.0	649.0	0.0	16.0	3724.0	0.0
0.002200826297	649.0	0.0	0.0	16.0	649.0	0.0	16.0	3723.0	0.0
0.002231099683	648.0	0.0	0.0	17.0	649.0	0.0	16.0	3722.0	0.0
0.002323805704	647.0	0.0	0.0	18.0	649.0	0.0	16.0	3721.0	0.0
0.002330417215	646.0	0.0	0.0	19.0	649.0	0.0	16.0	3720.0	0.0
0.00237043785	645.0	0.0	0.0	20.0	649.0	0.0	16.0	3719.0	0.0
0.002548218344	645.0	0.0	0.0	20.0	648.0	0.0	17.0	3718.0	0.0
0.002565832609	645.0	0.0	0.0	20.0	647.0	0.0	18.0	3717.0	0.0
0.002669631392	644.0	0.0	0.0	21.0	647.0	0.0	18.0	3716.0	0.0
0.002776110224	643.0	0.0	0.0	22.0	647.0	0.0	18.0	3715.0	0.0
0.002811528113	643.0	0.0	0.0	22.0	646.0	0.0	19.0	3714.0	0.0
0.002818891723	643.0	0.0	0.0	22.0	645.0	0.0	20.0	3713.0	0.0
0.00291704373	643.0	0.0	0.0	22.0	644.0	0.0	21.0	3712.0	0.0
0.002933148773	642.0	0.0	0.0	23.0	644.0	0.0	21.0	3711.0	0.0
0.002968699789	641.0	0.0	0.0	24.0	644.0	0.0	21.0	3710.0	0.0
0.00300632166	641.0	0.0	0.0	24.0	643.0	0.0	22.0	3709.0	0.0
0.003066629668	640.0	0.0	0.0	25.0	643.0	0.0	22.0	3708.0	0.0
0.00320470607	640.0	0.0	0.0	25.0	642.0	0.0	23.0	3707.0	0.0
0.003362215176	640.0	0.0	0.0	25.0	641.0	0.0	24.0	3706.0	0.0
0.003480728071	640.0	0.0	0.0	25.0	640.0	0.0	25.0	3705.0	0.0
0.003557830166	640.0	0.0	0.0	25.0	639.0	0.0	26.0	3704.0	0.0
0.003583585032	640.0	0.0	0.0	25.0	638.0	0.0	27.0	3703.0	0.0
0.003588626458	640.0	0.0	0.0	25.0	637.0	0.0	28.0	3702.0	0.0
0.003592105693	640.0	0.0	0.0	25.0	636.0	0.0	29.0	3701.0	0.0
0.003666680855	639.0	0.0	0.0	26.0	636.0	0.0	29.0	3700.0	0.0
0.003799167943	638.0	0.0	0.0	27.0	636.0	0.0	29.0	3699.0	0.0
0.003814035283	637.0	0.0	0.0	28.0	636.0	0.0	29.0	3698.0	0.0
0.003820056801	636.0	0.0	0.0	29.0	636.0	0.0	29.0	3697.0	0.0
0.003926619406	636.0	0.0	0.0	29.0	635.0	0.0	30.0	3696.0	0.0
0.003952534264	635.0	0.0	0.0	30.0	635.0	0.0	30.0	3695.0	0.0
0.004095576811	635.0	0.0	0.0	30.0	634.0	0.0	31.0	3694.0	0.0
0.004138319428	634.0	0.0	0.0	31.0	634.0	0.0	31.0	3693.0	0.0
0.004203824099	633.0	0.0	0.0	32.0	634.0	0.0	31.0	3692.0	0.0
0.004577828671	632.0	0.0	0.0	33.0	634.0	0.0	31.0	3691.0	0.0
0.004614499723	632.0	0.0	0.0	33.0	633.0	0.0	32.0	3690.0	0.0
0.004666631991	631.0	0.0	0.0	34.0	633.0	0.0	32.0	3689.0	0.0
0.004691132079	631.0	0.0	0.0	34.0	632.0	0.0	33.0	3688.0	0.0
0.0046947973	630.0	0.0	0.0	35.0	632.0	0.0	33.0	3687.0	0.0
0.004752162983	630.0	0.0	0.0	35.0	631.0	0.0	34.0	3686.0	0.0
0.004753550489	630.0	0.0	0.0	35.0	630.0	0.0	35.0	3685.0	0.0
0.004804760899	629.0	0.0	0.0	36.0	630.0	0.0	35.0	3684.0	0.0
0.004838978929	628.0	0.0	0.0	37.0	630.0	0.0	35.0	3683.0	0.0
0.004848089139	627.0	0.0	0.0	38.0	630.0	0.0	35.0	3682.0	0.0
0.004919282865	626.0	0.0	0.0	39.0	630.0	0.0	35.0	3681.0	0.0
0.005061341345	626.0	0.0	0.0	39.0	629.0	0.0	36.0	3680.0	0.0
0.005086303024	625.0	0.0	0.0	40.0	629.0	0.0	36.0	3679.0	0.0
0.005109794269	625.0	0.0	0.0	40.0	628.0	0.0	37.0	3678.0	0.0
0.00519443702	625.0	0.0	0.0	40.0	627.0	0.0	38.0	3677.0	0.0
0.005240304886	625.0	0.0	0.0	40.0	626.0	0.0	39.0	3676.0	0.0
