"Model: 'ARClock_withLocalization::PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation1' (),,,,,,DA,2,,D_PRM,0,,,,,,,,,,,,,,,,,,,,,,
(SimID_1370467900_0_ (PDE Simulation)),,,,,,DR,50,,,,,,,,,,,,,,,,,,,,,,,,,
Sim time range (0.0 200.0) (saved timepoints 201),,,,,,DC,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,D_RNA,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 200.0) (roi=('vl2') coord=(X=-1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times (s) down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances (um) along diameter d=2um ->,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2,,MAX,MIN,AVG,,RATIO
,15,0,0,3.43E-04,3.49E-04,3.60E-04,3.84E-04,4.28E-04,5.00E-04,6.22E-04,8.37E-04,0.001230741,0.001913813,0.002134182,0.001433631,9.64E-04,6.96E-04,5.40E-04,4.46E-04,3.88E-04,3.53E-04,3.32E-04,3.23E-04,3.18E-04,0,0,,0.002134182,0.000318188,0.000709272,,6.707305812
,16,0,0,4.29E-04,4.36E-04,4.49E-04,4.80E-04,5.34E-04,6.23E-04,7.72E-04,0.001027395,0.00148258,0.002243383,0.002488207,0.001715987,0.001178053,8.60E-04,6.71E-04,5.56E-04,4.85E-04,4.41E-04,4.15E-04,4.04E-04,3.98E-04,0,0,,0.002488207,0.000397659,0.00086135,,6.257141807
,17,0,0,5.41E-04,5.50E-04,5.67E-04,6.05E-04,6.72E-04,7.83E-04,9.64E-04,0.001268789,0.001794681,0.002642151,0.002913806,0.002062707,0.001446673,0.001070575,8.42E-04,7.00E-04,6.11E-04,5.56E-04,5.24E-04,5.09E-04,5.02E-04,0,0,,0.002913806,0.000501843,0.001053667,,5.806210721
,18,0,0,6.90E-04,7.01E-04,7.23E-04,7.71E-04,8.55E-04,9.92E-04,0.001213633,0.0015769,0.002184484,0.003129169,0.003430446,0.002491808,0.001786609,0.001341894,0.001064729,8.90E-04,7.78E-04,7.09E-04,6.68E-04,6.49E-04,6.40E-04,0,0,,0.003430446,0.000640108,0.001299415,,5.359164927
,19,0,0,8.92E-04,9.06E-04,9.34E-04,9.95E-04,0.00110091,0.001271478,0.001542251,0.001975964,0.002678828,0.003734105,0.004068578,0.003031147,0.002223033,0.001696698,0.001359927,0.001143026,0.001003213,9.15E-04,8.63E-04,8.39E-04,8.27E-04,0,0,,0.004068578,0.000827217,0.001619055,,4.918390443
,20,0,0,0.001173212,0.001191264,0.001227369,0.001305831,0.001440125,0.001653807,0.001986697,0.002506569,0.003322896,0.004507229,0.004879904,0.003727779,0.002798153,0.002172907,0.001761909,0.001491574,0.0013146,0.001201686,0.001134926,0.001103937,0.001088442,0,0,,0.004879904,0.001088442,0.002047182,,4.483384476
,21,0,0,0.001587741,0.001611338,0.001658534,0.001760515,0.00193334,0.002204315,0.002618017,0.003247338,0.004204505,0.005546457,0.005965197,0.004673327,0.003593823,0.00284387,0.00233695,0.001995939,0.001768823,0.001622096,0.001534612,0.001493806,0.001473403,0,0,,0.005965197,0.001473403,0.00265114,,4.048584527
,22,0,0,0.002268104,0.002300001,0.002363797,0.002500708,0.002730054,0.003083678,0.003611633,0.004392368,0.00554052,0.00709315,0.007572739,0.006094107,0.004812152,0.003890587,0.0032487,0.002806033,0.002505368,0.002308244,0.002189501,0.002133779,0.002105918,0,0,,0.007572739,0.002105918,0.003597673,,3.595931882
,23,0,0,0.003737703,0.003785161,0.003880076,0.004081952,0.004415064,0.004917847,0.005647896,0.006690812,0.008163112,0.01006557,0.010644936,0.008856266,0.007231185,0.00601322,0.005133059,0.004506892,0.004070738,0.003779176,0.003601099,0.003516835,0.003474703,0,0,,0.010644936,0.003474703,0.005533967,,3.063552458
,24,0,0,0.012744079,0.012857779,0.013085177,0.013560677,0.014323274,0.015429247,0.016954209,0.018996814,0.021659733,0.024743221,0.025651659,0.02282563,0.019935064,0.017580437,0.015755194,0.014377549,0.013370163,0.012670505,0.012231142,0.012019662,0.011913922,0,0,,0.025651659,0.011913922,0.01631834,,2.153082663
