"Model: 'ARClock_withLocalization::PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation1' (),,,,,,DA,2,,D_PRM,0,,,,,,,,,,,,,,,,,,,,,,
(SimID_1370467900_0_ (PDE Simulation)),,,,,,DR,50,,,,,,,,,,,,,,,,,,,,,,,,,
Sim time range (0.0 200.0) (saved timepoints 201),,,,,,DC,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,D_RNA,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 200.0) (roi=('vl2') coord=(X=-1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times (s) down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances (um) along diameter d=2um ->,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2,,MAX,MIN,AVG,,RATIO
,158,0,0,0.004728682,0.004785393,0.004898816,0.005139128,0.005533121,0.006122456,0.006968249,0.008159206,0.009811756,0.011903447,0.012536298,0.010580381,0.00876444,0.007379057,0.006362278,0.00562934,0.005113282,0.004765387,0.00455161,0.004450078,0.004399312,0,0,,0.012536298,0.004399312,0.006789606,,2.849604173
,159,0,0,0.032140682,0.032340496,0.032740123,0.03356926,0.034881475,0.036749198,0.039262672,0.042528781,0.046627226,0.051105396,0.052383437,0.048297027,0.043845184,0.040066637,0.037035407,0.034679872,0.032915098,0.03166541,0.030869298,0.030482644,0.030289316,0,0,,0.052383437,0.030289316,0.037832126,,1.729436111
,160,0,0,0.251873223,0.252311233,0.253187254,0.254994716,0.257825918,0.261796021,0.267039777,0.273717115,0.281978742,0.291286607,0.293704178,0.28477511,0.275480521,0.267462868,0.260861711,0.255595496,0.251555453,0.248637016,0.246748958,0.245822659,0.245359509,0,0,,0.293704178,0.245359509,0.262953052,,1.197036052
,161,0,0,0.387302595,0.387773807,0.388716231,0.390660509,0.393705148,0.397972588,0.403606138,0.410777977,0.419661266,0.429748465,0.43234481,0.422609415,0.412570783,0.403919471,0.396791345,0.391098179,0.386725414,0.383563234,0.38151569,0.380510534,0.380007956,0,0,,0.43234481,0.380007956,0.399122931,,1.137725679
,162,0,0,0.381928145,0.382396551,0.383333363,0.385266379,0.388294214,0.392539814,0.398147736,0.405292944,0.414155803,0.42425481,0.426854977,0.417101654,0.407083236,0.398462216,0.391365371,0.385700673,0.381351705,0.378207738,0.376172423,0.375173395,0.37467388,0,0,,0.426854977,0.37467388,0.393702716,,1.139270707
,163,0,0,0.295603524,0.29604896,0.296939831,0.298778913,0.301662031,0.305709726,0.311065253,0.317904132,0.326413261,0.336161884,0.338683273,0.329276747,0.319669919,0.311430785,0.304665772,0.299277143,0.295147026,0.292165163,0.29023663,0.28929058,0.288817555,0,0,,0.338683273,0.288817555,0.306902291,,1.172654734
,164,0,0,0.157685459,0.158063734,0.158820283,0.160384585,0.162844137,0.166312247,0.170928122,0.176868648,0.18434005,0.193064708,0.195359942,0.186976458,0.178587729,0.171478934,0.165696016,0.161124494,0.157642267,0.155140458,0.15352827,0.152739223,0.1523447,0,0,,0.195359942,0.1523447,0.167615736,,1.282354701
,165,0,0,0.001421221,0.001436803,0.001467967,0.00153594,0.001653128,0.001842006,0.002142751,0.002629942,0.0034456,0.004805346,0.005228343,0.003854364,0.002906881,0.002311993,0.001936387,0.001695351,0.001539859,0.001441464,0.001383529,0.001356685,0.001343263,0,0,,0.005228343,0.001343263,0.002256134,,3.892270477
,166,0,0,1.82E-04,1.85E-04,1.91E-04,2.04E-04,2.27E-04,2.66E-04,3.34E-04,4.59E-04,7.10E-04,0.001199188,0.001356692,8.39E-04,5.34E-04,3.75E-04,2.88E-04,2.37E-04,2.06E-04,1.87E-04,1.76E-04,1.71E-04,1.69E-04,0,0,,0.001356692,0.000168995,0.000404598,,8.027993657
,167,0,0,1.54E-04,1.56E-04,1.61E-04,1.72E-04,1.92E-04,2.25E-04,2.83E-04,3.91E-04,6.12E-04,0.00105478,0.001196978,7.26E-04,4.56E-04,3.18E-04,2.43E-04,2.00E-04,1.74E-04,1.58E-04,1.49E-04,1.45E-04,1.43E-04,0,0,,0.001196978,0.000142518,0.000347966,,8.398765447
,168,0,0,1.63E-04,1.65E-04,1.71E-04,1.82E-04,2.03E-04,2.38E-04,2.99E-04,4.13E-04,6.44E-04,0.001101963,0.001249138,7.63E-04,4.82E-04,3.36E-04,2.58E-04,2.12E-04,1.84E-04,1.67E-04,1.58E-04,1.53E-04,1.51E-04,0,0,,0.001249138,0.00015085,0.00036632,,8.280641929
,169,0,0,1.87E-04,1.90E-04,1.96E-04,2.09E-04,2.33E-04,2.73E-04,3.43E-04,4.72E-04,7.28E-04,0.001223444,0.001383078,8.61E-04,5.49E-04,3.85E-04,2.95E-04,2.43E-04,2.11E-04,1.92E-04,1.81E-04,1.76E-04,1.73E-04,0,0,,0.001383078,0.000173123,0.000414402,,7.989002039
,170,0,0,2.22E-04,2.26E-04,2.33E-04,2.49E-04,2.78E-04,3.25E-04,4.08E-04,5.57E-04,8.49E-04,0.001394999,0.001571209,0.001000001,6.47E-04,4.57E-04,3.52E-04,2.90E-04,2.52E-04,2.29E-04,2.15E-04,2.09E-04,2.06E-04,0,0,,0.001571209,0.000206303,0.000484366,,7.616016788
,171,0,0,2.71E-04,2.75E-04,2.84E-04,3.03E-04,3.38E-04,3.95E-04,4.94E-04,6.71E-04,0.001006145,0.001611978,0.00180764,0.001179417,7.77E-04,5.54E-04,4.27E-04,3.52E-04,3.06E-04,2.78E-04,2.62E-04,2.55E-04,2.51E-04,0,0,,0.00180764,0.000251044,0.000576106,,7.200499474
,172,0,0,3.34E-04,3.39E-04,3.50E-04,3.74E-04,4.16E-04,4.87E-04,6.06E-04,8.16E-04,0.001203113,0.001877139,0.002094636,0.001402492,9.41E-04,6.78E-04,5.26E-04,4.34E-04,3.78E-04,3.43E-04,3.23E-04,3.14E-04,3.10E-04,0,0,,0.002094636,0.000309736,0.000692767,,6.762659937
,173,0,0,4.16E-04,4.23E-04,4.37E-04,4.66E-04,5.19E-04,6.06E-04,7.51E-04,0.001000544,0.001447415,0.00219784,0.002439421,0.001676713,0.001148027,8.37E-04,6.53E-04,5.41E-04,4.71E-04,4.28E-04,4.03E-04,3.92E-04,3.86E-04,0,0,,0.002439421,0.00038631,0.000839946,,6.31468123
,174,0,0,5.25E-04,5.33E-04,5.50E-04,5.87E-04,6.52E-04,7.60E-04,9.36E-04,0.001234117,0.00175026,0.002585943,0.002853973,0.002013548,0.001408226,0.001040217,8.17E-04,6.79E-04,5.93E-04,5.39E-04,5.08E-04,4.94E-04,4.87E-04,0,0,,0.002853973,0.000486649,0.001026046,,5.86454141
,175,0,0,6.68E-04,6.79E-04,7.00E-04,7.47E-04,8.28E-04,9.61E-04,0.001176984,0.001531953,0.00212812,0.003059375,0.003356587,0.002429994,0.001737198,0.001302155,0.001031937,8.62E-04,7.54E-04,6.86E-04,6.47E-04,6.29E-04,6.20E-04,0,0,,0.003356587,0.000619588,0.001263521,,5.417449766
,176,0,0,8.61E-04,8.75E-04,9.02E-04,9.61E-04,0.001063951,0.001229601,0.001493198,0.001916808,0.002606167,0.003645919,0.003975759,0.00295216,0.002158575,0.001643897,0.001315741,0.001104954,9.69E-04,8.84E-04,8.34E-04,8.11E-04,7.99E-04,0,0,,0.003975759,0.000798946,0.001571554,,4.976256105
,177,0,0,0.001129719,0.001147164,0.001182055,0.00125793,0.001387956,0.001595226,0.001918961,0.002426264,0.003226207,0.004392044,0.004759274,0.003623563,0.002711429,0.002100563,0.001700472,0.001438066,0.001266651,0.001157452,0.001092953,0.00106303,0.001048069,0,0,,0.004759274,0.001048069,0.001982145,,4.540993625
,178,0,0,0.001521408,0.001544146,0.001589622,0.001687967,0.001854866,0.002117089,0.002518549,0.003131441,0.004067649,0.005386288,0.005798251,0.004527039,0.003469793,0.002738511,0.00224609,0.001915859,0.001696451,0.001554957,0.001470694,0.001431418,0.00141178,0,0,,0.005798251,0.00141178,0.002556184,,4.107049071
,179,0,0,0.002151376,0.002181911,0.00224298,0.002374171,0.002594306,0.002934548,0.003444148,0.004200755,0.005318701,0.006838224,0.007308295,0.005859018,0.004609049,0.003714789,0.003094558,0.00266834,0.002379668,0.002190814,0.002077225,0.00202397,0.001997342,0,0,,0.007308295,0.001997342,0.003438295,,3.659010769
,180,0,0,0.00343661,0.003481084,0.003570031,0.003759488,0.004072859,0.004547449,0.005239591,0.006233732,0.007646237,0.009485028,0.010046328,0.008314024,0.006752238,0.005589405,0.004753948,0.004162503,0.003752188,0.003478755,0.003312127,0.003233387,0.003194017,0,0,,0.010046328,0.003194017,0.005145763,,3.145358296
,181,0,0,0.009555697,0.009649447,0.009836949,0.010230319,0.010864712,0.011791971,0.013083556,0.014835804,0.017157919,0.019916846,0.020736036,0.018194424,0.015667727,0.0136451,0.012099241,0.010946183,0.010111186,0.009535701,0.009176342,0.009003973,0.008917788,0,0,,0.020736036,0.008917788,0.012616996,,2.32524425
,182,0,0,0.141534285,0.141914042,0.142673555,0.144241348,0.14669972,0.150152641,0.154722463,0.160552031,0.167761019,0.175776579,0.177903554,0.17031548,0.162284755,0.155357031,0.149670284,0.145149708,0.141693508,0.139204251,0.13759768,0.136810754,0.136417292,0,0,,0.177903554,0.136417292,0.151353904,,1.304112934
,183,0,0,0.347851536,0.34831551,0.349243458,0.351157864,0.354155773,0.358357839,0.363905155,0.370966603,0.379709116,0.389614955,0.392168968,0.382620866,0.372750245,0.364239929,0.357227939,0.351628229,0.347327938,0.344218665,0.342205656,0.341217553,0.340723502,0,0,,0.392168968,0.340723502,0.359505109,,1.150988897
,184,0,0,0.397401149,0.397873274,0.398817525,0.400765694,0.40381674,0.408093798,0.413741286,0.420933391,0.429847798,0.439989792,0.442599428,0.43280538,0.422728133,0.414049626,0.406901598,0.401193724,0.396810239,0.39364057,0.391588274,0.390580809,0.390077076,0,0,,0.442599428,0.390077076,0.409250253,,1.134646089
,185,0,0,0.341553621,0.342012258,0.342929532,0.344822612,0.347788958,0.351950538,0.357451446,0.364467057,0.373180946,0.383134511,0.3857019,0.376091735,0.366246028,0.357786004,0.350829349,0.345281412,0.34102506,0.337949712,0.335959604,0.334983004,0.334494704,0,0,,0.3857019,0.334494704,0.353125714,,1.153088212
,186,0,0,0.225555611,0.225974003,0.226810786,0.228539227,0.2312518,0.235066112,0.240123713,0.246600432,0.254690078,0.264019793,0.266448165,0.257460133,0.248345118,0.240561006,0.234190923,0.229130735,0.225260988,0.222472025,0.220670601,0.219787632,0.219346147,0,0,,0.266448165,0.219346147,0.236300239,,1.214738296
,187,0,0,0.053980669,0.054225742,0.054715889,0.055734818,0.057352473,0.059666466,0.062807487,0.066959349,0.072390256,0.079241586,0.08111183,0.074541862,0.068506525,0.063611822,0.059754377,0.056780426,0.054560162,0.052989959,0.05198979,0.051503854,0.051260887,0,0,,0.08111183,0.051260887,0.061127916,,1.582333724
,188,0,0,2.49E-04,2.53E-04,2.61E-04,2.78E-04,3.09E-04,3.61E-04,4.50E-04,6.12E-04,9.23E-04,0.001503728,0.001690762,0.00108473,7.08E-04,5.04E-04,3.90E-04,3.22E-04,2.81E-04,2.56E-04,2.41E-04,2.34E-04,2.31E-04,0,0,,0.001690762,0.000231079,0.00053055,,7.316819067
,189,0,0,1.58E-04,1.61E-04,1.66E-04,1.77E-04,1.97E-04,2.32E-04,2.91E-04,4.02E-04,6.28E-04,0.001078827,0.001223656,7.44E-04,4.69E-04,3.27E-04,2.51E-04,2.06E-04,1.79E-04,1.63E-04,1.53E-04,1.49E-04,1.47E-04,0,0,,0.001223656,0.000146831,0.000357256,,8.333785274
,190,0,0,1.56E-04,1.59E-04,1.64E-04,1.75E-04,1.95E-04,2.29E-04,2.88E-04,3.97E-04,6.21E-04,0.001068676,0.001212331,7.37E-04,4.64E-04,3.23E-04,2.47E-04,2.04E-04,1.77E-04,1.61E-04,1.51E-04,1.47E-04,1.45E-04,0,0,,0.001212331,0.000144937,0.000353362,,8.364554502
,191,0,0,1.74E-04,1.77E-04,1.83E-04,1.95E-04,2.18E-04,2.55E-04,3.21E-04,4.42E-04,6.85E-04,0.001162126,0.001315548,8.11E-04,5.15E-04,3.60E-04,2.76E-04,2.27E-04,1.97E-04,1.79E-04,1.69E-04,1.64E-04,1.62E-04,0,0,,0.001315548,0.00016175,0.000389977,,8.133205524
,192,0,0,2.05E-04,2.08E-04,2.15E-04,2.30E-04,2.56E-04,3.00E-04,3.76E-04,5.16E-04,7.90E-04,0.001312511,0.001480892,9.33E-04,6.00E-04,4.22E-04,3.24E-04,2.67E-04,2.32E-04,2.11E-04,1.99E-04,1.93E-04,1.90E-04,0,0,,0.001480892,0.000190102,0.000450431,,7.789992677
,193,0,0,2.47E-04,2.51E-04,2.59E-04,2.77E-04,3.09E-04,3.62E-04,4.52E-04,6.16E-04,9.31E-04,0.001509137,0.001695773,0.001093987,7.15E-04,5.07E-04,3.91E-04,3.22E-04,2.80E-04,2.54E-04,2.40E-04,2.33E-04,2.29E-04,0,0,,0.001695773,0.00022946,0.000532187,,7.390289096
,194,0,0,3.03E-04,3.08E-04,3.18E-04,3.40E-04,3.78E-04,4.43E-04,5.53E-04,7.47E-04,0.001109577,0.001752063,0.001959502,0.001296801,8.63E-04,6.18E-04,4.78E-04,3.95E-04,3.44E-04,3.12E-04,2.94E-04,2.86E-04,2.82E-04,0,0,,0.001959502,0.000281514,0.000637141,,6.960591544
,195,0,0,3.77E-04,3.83E-04,3.95E-04,4.22E-04,4.69E-04,5.49E-04,6.81E-04,9.13E-04,0.001331538,0.00204671,0.002277226,0.001546955,0.001049482,7.61E-04,5.92E-04,4.90E-04,4.26E-04,3.87E-04,3.65E-04,3.55E-04,3.49E-04,0,0,,0.002277226,0.000349484,0.000769799,,6.515968649
,196,0,0,4.72E-04,4.80E-04,4.95E-04,5.29E-04,5.88E-04,6.86E-04,8.47E-04,0.0011226,0.001606496,0.002402831,0.002658707,0.001854033,0.001284266,9.43E-04,7.38E-04,6.13E-04,5.34E-04,4.86E-04,4.58E-04,4.45E-04,4.38E-04,0,0,,0.002658707,0.000438296,0.000937212,,6.066004424
,197,0,0,5.99E-04,6.08E-04,6.27E-04,6.70E-04,7.43E-04,8.64E-04,0.001061307,0.001389408,0.001948283,0.00283533,0.0031191,0.002232261,0.001580105,0.001176476,9.29E-04,7.74E-04,6.76E-04,6.15E-04,5.80E-04,5.63E-04,5.55E-04,0,0,,0.0031191,0.000555291,0.001149798,,5.617053901
,198,0,0,7.67E-04,7.79E-04,8.04E-04,8.57E-04,9.50E-04,0.001099703,0.001340503,0.001731772,0.002377557,0.00336689,0.003681627,0.002703024,0.001956442,0.001479186,0.001178461,9.87E-04,8.65E-04,7.88E-04,7.43E-04,7.22E-04,7.12E-04,0,0,,0.003681627,0.000711697,0.001423249,,5.173025604
,199,0,0,9.98E-04,0.0010135,0.001044648,0.001112537,0.001229333,0.001416633,0.001711677,0.002179314,0.002927194,0.004033958,0.004383734,0.003300491,0.002444057,0.001878676,0.001512836,0.001275161,0.00112099,0.001023259,9.66E-04,9.39E-04,9.26E-04,0,0,,0.004383734,0.00092575,0.001782689,,4.735333212
,200,0,0,0.001325945,0.00134609,0.00138638,0.001473737,0.001622661,0.001858212,0.002222147,0.002784362,0.003655537,0.004901532,0.005292297,0.004085479,0.003097391,0.002423802,0.001975887,0.001678541,0.001482521,0.001356827,0.001282262,0.001247584,0.001230245,0,0,,0.005292297,0.001230245,0.002272831,,4.301823494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('C') times (0.0 200.0) (roi=('vl2') coord=(X=-1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,1,0,0,0.011489868,0.011492307,0.011497184,0.011506971,0.011521482,0.011540085,0.01156151,0.011583631,0.011603186,0.0116153,0.011612878,0.011593065,0.011563116,0.011528922,0.011494664,0.011463229,0.011436535,0.01141578,0.011401645,0.011394489,0.011390912,0,0,,0.0116153,0.011390912,0.011509846,,1.019698927
,2,0,0,0.067195561,0.06719973,0.067208069,0.067224828,0.06724977,0.067281959,0.067319402,0.067358634,0.067394143,0.067417363,0.067415251,0.067382426,0.06733231,0.067275346,0.06721866,0.067166994,0.067123386,0.067089652,0.067066773,0.067055221,0.067049445,0,0,,0.067417363,0.067049445,0.067239282,,1.005487276
,3,0,0,0.160099729,0.160105437,0.160116854,0.160139793,0.160173942,0.160218051,0.160269449,0.160323471,0.160372647,0.160405306,0.160403559,0.160359982,0.160292956,0.160216689,0.16014082,0.160071724,0.160013459,0.159968433,0.159937922,0.159922528,0.159914831,0,0,,0.160405306,0.159914831,0.160165123,,1.003067102
,4,0,0,0.276391418,0.276399448,0.27641551,0.276447744,0.27649565,0.276557398,0.276629166,0.276704376,0.276772623,0.276817861,0.276815782,0.276756323,0.276664322,0.276559177,0.276454214,0.276358355,0.276277351,0.276214657,0.276172133,0.276150668,0.276139936,0,0,,0.276817861,0.276139936,0.276485434,,1.002455007
,5,0,0,0.4052924,0.405304773,0.405329519,0.405379104,0.405452598,0.405546962,0.405656075,0.405769655,0.405871807,0.40593857,0.405934423,0.405844775,0.405705647,0.405545735,0.405385209,0.405237893,0.405112905,0.405015865,0.404949896,0.404916551,0.404899879,0,0,,0.40593857,0.404899879,0.405432869,,1.002565305
,6,0,0,0.538095315,0.538117402,0.538161574,0.538249954,0.538380551,0.538547429,0.538739068,0.538936658,0.539111898,0.539223316,0.53921091,0.539050299,0.538801956,0.538515133,0.538225465,0.537958101,0.537730119,0.537552384,0.537431179,0.537369791,0.537339097,0,0,,0.539223316,0.537339097,0.538321314,,1.003506574
,7,0,0,0.663019813,0.6630783,0.663195274,0.663429302,0.663774788,0.664215313,0.664719417,0.665236388,0.665690988,0.665974288,0.665925979,0.665480693,0.664802021,0.664019894,0.663229291,0.662498242,0.661873638,0.661385778,0.661052546,0.660883566,0.660799076,0,0,,0.665974288,0.660799076,0.663537362,,1.007831748
,8,0,0,0.465484067,0.465549818,0.465681318,0.465951119,0.466368917,0.466942963,0.467674617,0.468547597,0.469499686,0.470336885,0.470507772,0.469726712,0.468657786,0.467597922,0.46665784,0.465875244,0.465259018,0.464806374,0.464510377,0.464364245,0.464291179,0,0,,0.470507772,0.464291179,0.466871022,,1.013389428
,9,0,0,0.240412831,0.240476403,0.240603547,0.240864905,0.241271298,0.241833865,0.242560146,0.243445758,0.244447215,0.245378859,0.245590742,0.244732728,0.243618427,0.242554793,0.241634185,0.240879568,0.240291257,0.239861936,0.239582392,0.239444735,0.239375906,0,0,,0.245590742,0.239375906,0.241850547,,1.025962663
,10,0,0,0.155682336,0.155745707,0.15587245,0.15613302,0.156538303,0.157099611,0.157824891,0.158710604,0.159714772,0.160652787,0.160867313,0.160003339,0.158886008,0.157822468,0.156903496,0.15615098,0.155564674,0.155136985,0.154858574,0.154721495,0.154652956,0,0,,0.160867313,0.154652956,0.157121084,,1.040182597
,11,0,0,0.12463954,0.12470313,0.12483031,0.125091707,0.125498058,0.126060312,0.126785598,0.127668654,0.128664375,0.129586013,0.129794597,0.128947203,0.127840441,0.126780677,0.125861872,0.125108064,0.124520108,0.124090942,0.123811465,0.123673834,0.123605019,0,0,,0.129794597,0.123605019,0.126074377,,1.05007546
,12,0,0,0.113891667,0.11395565,0.114083617,0.114346499,0.114754764,0.115318708,0.116044038,0.116922594,0.117904316,0.11879966,0.118998618,0.118177246,0.11708764,0.116034036,0.115115298,0.114359025,0.113767988,0.113336064,0.113054596,0.112915933,0.112846601,0,0,,0.118998618,0.112846601,0.115319741,,1.054516629
,13,0,0,0.110932334,0.110996808,0.111125755,0.111390471,0.11180104,0.11236687,0.113091801,0.11396407,0.1149279,0.11579146,0.115978799,0.115188094,0.114119942,0.11307464,0.112156446,0.111397299,0.110802446,0.110367033,0.110083016,0.109943025,0.109873029,0,0,,0.115978799,0.109873029,0.112351061,,1.055571146
,14,0,0,0.111109019,0.111174043,0.11130409,0.111570831,0.111983846,0.112551426,0.113275169,0.114139238,0.115081944,0.115910263,0.116084778,0.115327086,0.114283628,0.11324876,0.112331956,0.111569939,0.110970873,0.110531482,0.110244516,0.110102975,0.110032204,0,0,,0.116084778,0.110032204,0.112515622,,1.055007293
,15,0,0,0.112711869,0.112777475,0.112908687,0.113177526,0.11359294,0.114161862,0.114883323,0.115737113,0.116655812,0.117446577,0.117607506,0.116883847,0.115867659,0.114845377,0.113931095,0.113166509,0.112563065,0.11211936,0.111829132,0.111685861,0.111614225,0,0,,0.117607506,0.111614225,0.114103182,,1.05369639
,16,0,0,0.115141452,0.115207647,0.115340037,0.115610936,0.11602851,0.116598109,0.117315907,0.118157181,0.119049237,0.119800891,0.119947755,0.119258262,0.118271392,0.117263837,0.116353433,0.115586835,0.114979044,0.114530816,0.114237083,0.114091932,0.114019356,0,0,,0.119947755,0.114019356,0.116513793,,1.051994673
,17,0,0,0.118228634,0.118295395,0.118428917,0.118701712,0.119121013,0.119690356,0.120402843,0.121229238,0.122092231,0.122803762,0.122936265,0.122280435,0.121324443,0.120333682,0.119428681,0.118660848,0.118048926,0.117596088,0.117298676,0.117151524,0.117077948,0,0,,0.122936265,0.117077948,0.119577696,,1.050037747
,18,0,0,0.121988539,0.122055809,0.12219035,0.122464735,0.122885112,0.123453,0.124158276,0.124967329,0.125799033,0.126469815,0.126587761,0.125964618,0.12504061,0.124068574,0.123170605,0.122402503,0.121786837,0.121329424,0.121028231,0.120878987,0.120804365,0,0,,0.126587761,0.120804365,0.123309263,,1.047874071
,19,0,0,0.126542502,0.126610185,0.12674555,0.127021062,0.127441631,0.128006588,0.128702506,0.129491657,0.130289975,0.130919592,0.131022797,0.13043104,0.129539716,0.128588162,0.127698896,0.126931634,0.126312761,0.12585092,0.125545908,0.125394512,0.125318813,0,0,,0.131022797,0.125318813,0.127828877,,1.045515782
,20,0,0,0.132118309,0.13218626,0.132322162,0.13259815,0.13301776,0.133577991,0.134262099,0.135028583,0.135791345,0.136379307,0.13646746,0.135905637,0.135047439,0.134117986,0.133239117,0.132473913,0.131852488,0.131386456,0.131077644,0.130924058,0.130847265,0,0,,0.13646746,0.130847265,0.133362925,,1.042952333
,21,0,0,0.139120765,0.139188778,0.139324802,0.139600361,0.140017479,0.140570696,0.141239979,0.141980435,0.142704856,0.14324999,0.143322402,0.142789226,0.141964728,0.141059121,0.140192496,0.139430713,0.138807503,0.138337579,0.138025005,0.137869192,0.137791285,0,0,,0.143322402,0.137791285,0.140313685,,1.040141265
,22,0,0,0.148367856,0.148435588,0.148571053,0.148844721,0.149256923,0.149799568,0.150449325,0.151158309,0.151839179,0.152337872,0.152392743,0.151887935,0.15109908,0.150220279,0.149368668,0.1486123,0.147988436,0.147515088,0.147198849,0.147040789,0.146961759,0,0,,0.152392743,0.146961759,0.149492682,,1.036955083
,23,0,0,0.162004691,0.162071184,0.162204171,0.162471908,0.162872659,0.163395285,0.164012989,0.164675368,0.16529663,0.165735297,0.165767036,0.165295371,0.164551865,0.163710362,0.162882707,0.162138272,0.161517914,0.161043457,0.160724641,0.16056472,0.160484759,0,0,,0.165767036,0.160484759,0.163020061,,1.032914506
,24,0,0,0.188183031,0.188237898,0.188347632,0.18856722,0.188892011,0.189307795,0.189786479,0.190281458,0.190721719,0.191003012,0.19098335,0.190606072,0.19001092,0.189320594,0.188623951,0.187982693,0.187437733,0.187014295,0.18672636,0.186580821,0.186508051,0,0,,0.191003012,0.186508051,0.188815386,,1.024100628
,25,0,0,0.219024526,0.2190374,0.219063148,0.219114701,0.219190692,0.219287123,0.219396446,0.219506692,0.219600416,0.219653007,0.219631137,0.219521838,0.219358465,0.219170279,0.218979434,0.218802206,0.218650102,0.218530788,0.218448979,0.218407374,0.218386572,0,0,,0.219653007,0.218386572,0.219083873,,1.005799052
,26,0,0,0.271192038,0.2712017,0.271221026,0.271259748,0.271317063,0.271390424,0.271474799,0.271561896,0.271639103,0.271687754,0.271680824,0.271607354,0.271494688,0.271365147,0.271234732,0.271114637,0.271012407,0.270932797,0.270878537,0.270851058,0.270837318,0,0,,0.271687754,0.270837318,0.271283574,,1.003140026
,27,0,0,0.35530816,0.355319674,0.355342703,0.355388838,0.355457161,0.355544742,0.355645744,0.355750456,0.355843998,0.35590416,0.35589839,0.355813405,0.355682157,0.355531206,0.35537942,0.355239866,0.355121253,0.355029017,0.354966232,0.354934468,0.354918586,0,0,,0.35590416,0.354918586,0.355429506,,1.0027769
,28,0,0,0.46011636,0.460132969,0.460166187,0.460232681,0.460331017,0.46045682,0.460601513,0.460750999,0.46088392,0.460968766,0.460959789,0.460838382,0.4606507,0.460434256,0.46021601,0.460014855,0.459843535,0.459710098,0.459619163,0.459573124,0.459550105,0,0,,0.460968766,0.459550105,0.460288155,,1.003087065
,29,0,0,0.574004436,0.574034025,0.574093203,0.574211562,0.574386243,0.574608947,0.574863787,0.575125135,0.575354906,0.575498005,0.575475573,0.575255769,0.574918002,0.574527585,0.574132424,0.573766803,0.573454325,0.573210231,0.573043506,0.572958968,0.5729167,0,0,,0.575498005,0.5729167,0.574278102,,1.004505551
,30,0,0,0.668823349,0.668928138,0.669137716,0.669558291,0.670182977,0.670987369,0.671921336,0.672900088,0.673791991,0.674394243,0.674358009,0.673532193,0.672291539,0.670886663,0.669487603,0.668209817,0.667129005,0.666291471,0.665722726,0.665435386,0.665291715,0,0,,0.674394243,0.665291715,0.669964839,,1.013682009
,31,0,0,0.365398626,0.365463318,0.365592703,0.365858382,0.366270606,0.366839082,0.367568223,0.368447378,0.369422587,0.370302497,0.370493941,0.369684059,0.368599294,0.367542274,0.366615792,0.365850576,0.365251218,0.364812556,0.364526409,0.364385355,0.364314828,0,0,,0.370493941,0.364314828,0.366820938,,1.016960914
,32,0,0,0.202695132,0.202758687,0.202885797,0.203147081,0.203553347,0.204115705,0.20484164,0.205726642,0.206726983,0.207656831,0.207868185,0.207012187,0.205899433,0.204836769,0.203916787,0.203162603,0.202574603,0.202145503,0.201866102,0.201728517,0.201659724,0,0,,0.207868185,0.201659724,0.204132298,,1.030786815
,33,0,0,0.142004491,0.142068027,0.142195101,0.142456298,0.142862402,0.143424466,0.144149857,0.145033802,0.146032085,0.146958533,0.147168833,0.146316547,0.145206563,0.144145524,0.143226501,0.142472922,0.141885327,0.1414565,0.141177273,0.141039772,0.140971022,0,0,,0.147168833,0.140971022,0.143440564,,1.043965142
,34,0,0,0.120037683,0.120101512,0.12022917,0.120491473,0.120898998,0.121462313,0.122187701,0.123068164,0.124055593,0.124961453,0.125164248,0.124332521,0.123235949,0.122179749,0.121260883,0.120505529,0.119915682,0.119484836,0.11920415,0.119065893,0.118996765,0,0,,0.125164248,0.118996765,0.121468584,,1.051829003
,35,0,0,0.112772364,0.11283663,0.112965161,0.113229102,0.113638709,0.114203781,0.114928974,0.115804068,0.116775681,0.117652813,0.117845102,0.117041396,0.115963966,0.114914965,0.113996431,0.113238453,0.112645205,0.112211275,0.111928347,0.111788924,0.111719213,0,0,,0.117845102,0.111719213,0.114195265,,1.054832909
