iter A R
38100000 2 261
38200000 3 272
38300000 2 272
38400000 0 275
38500000 1 268
38600000 6 262
38700000 7 249
38800000 0 248
38900000 3 252
39000000 2 261
39100000 2 258
39200000 0 269
39300000 4 273
39400000 2 268
39500000 5 267
39600000 2 266
39700000 1 259
39800000 5 247
39900000 3 237
40000000 6 236
40100000 9 227
40200000 5 204
40300000 4 197
40400000 3 195
40500000 8 200
40600000 2 201
40700000 6 197
40800000 3 195
40900000 4 190
41000000 6 199
41100000 3 204
41200000 9 194
41300000 1 170
41400000 8 157
41500000 5 144
41600000 3 155
41700000 18 128
41800000 22 98
41900000 27 78
42000000 23 41
42100000 39 25
42200000 33 21
42300000 37 21
42400000 37 29
42500000 66 27
42600000 112 15
42700000 163 4
42800000 199 4
42900000 210 3
43000000 244 4
43100000 268 4
43200000 282 2
43300000 325 4
43400000 355 4
43500000 378 6
43600000 397 6
43700000 429 3
43800000 454 2
43900000 482 1
44000000 504 1
44100000 522 0
44200000 533 0
44300000 552 3
44400000 556 4
44500000 549 3
44600000 572 3
44700000 595 7
44800000 628 2
44900000 665 1
45000000 674 1
45100000 695 4
45200000 658 2
45300000 644 1
45400000 651 2
45500000 642 2
45600000 642 0
45700000 648 1
45800000 673 5
45900000 699 2
46000000 717 1
46100000 757 3
46200000 774 2
46300000 790 4
46400000 802 0
46500000 807 2
46600000 814 3
46700000 801 0
46800000 827 1
46900000 847 2
47000000 851 2
47100000 856 1
47200000 880 1
47300000 945 1
47400000 947 2
47500000 946 1
47600000 965 3
47700000 968 2
47800000 969 1
47900000 991 3
48000000 996 2
48100000 1013 0
48200000 1031 1
48300000 998 2
48400000 983 4
48500000 1002 1
48600000 1031 1
48700000 1031 5
48800000 1016 7
48900000 940 0
49000000 889 0
49100000 879 6
49200000 870 2
49300000 862 3
49400000 894 3
49500000 896 4
49600000 938 1
49700000 952 5
49800000 911 4
49900000 873 1
50000000 859 5
50100000 857 1
50200000 826 5
50300000 865 3
50400000 886 2
50500000 922 1
50600000 941 2
50700000 951 1
50800000 996 2
50900000 1021 4
51000000 1012 1
51100000 1007 2
51200000 1035 5
51300000 995 4
51400000 996 2
51500000 1003 4
51600000 997 1
51700000 972 2
51800000 978 4
51900000 974 4
52000000 957 2
52100000 908 7
52200000 896 6
52300000 866 5
52400000 862 5
52500000 846 6
52600000 793 1
52700000 794 3
52800000 788 2
52900000 755 7
53000000 722 2
53100000 671 4
53200000 627 10
53300000 588 4
53400000 563 7
53500000 546 13
53600000 515 6
53700000 499 10
53800000 489 4
53900000 471 8
54000000 448 10
54100000 443 7
54200000 434 8
54300000 412 6
54400000 415 9
54500000 374 11
54600000 325 14
54700000 331 8
54800000 297 14
54900000 278 15
55000000 276 9
55100000 268 13
55200000 271 15
55300000 265 12
55400000 255 12
55500000 223 16
55600000 177 27
55700000 121 33
55800000 73 50
55900000 31 75
56000000 24 113
56100000 11 166
56200000 4 218
56300000 4 275
56400000 1 334
56500000 7 401
56600000 3 461
56700000 0 522
56800000 3 560
56900000 1 598
57000000 0 652
57100000 0 699
57200000 0 747
57300000 1 782
57400000 0 829
57500000 2 867
57600000 2 893
57700000 0 914
57800000 0 955
57900000 0 982
58000000 0 1006
58100000 0 1024
58200000 0 1063
58300000 0 1097
58400000 0 1113
58500000 0 1136
58600000 0 1160
58700000 0 1177
58800000 0 1185
58900000 1 1199
59000000 1 1200
59100000 0 1205
59200000 0 1200
59300000 3 1174
59400000 1 1145
59500000 1 1148
59600000 0 1137
59700000 0 1138
59800000 2 1143
59900000 0 1157
60000000 0 1161
60100000 1 1176
60200000 0 1179
60300000 0 1185
60400000 0 1192
60500000 0 1185
60600000 0 1187
60700000 0 1194
60800000 4 1173
60900000 1 1157
61000000 2 1135
61100000 1 1127
61200000 0 1130
61300000 2 1123
61400000 2 1118
61500000 0 1111
61600000 0 1105
61700000 1 1102
61800000 0 1107
61900000 0 1105
62000000 1 1087
62100000 0 1079
62200000 0 1086
62300000 0 1089
62400000 0 1079
62500000 0 1073
62600000 0 1076
62700000 0 1079
62800000 0 1081
62900000 0 1089
63000000 1 1084
63100000 0 1080
63200000 0 1064
63300000 1 1048
63400000 1 1040
63500000 1 1029
63600000 0 1028
63700000 0 1024
63800000 0 1015
63900000 0 1015
64000000 0 1007
64100000 2 991
64200000 1 979
64300000 0 985
64400000 1 976
64500000 0 961
64600000 1 955
64700000 0 943
64800000 1 929
64900000 1 909
65000000 0 904
65100000 0 910
65200000 1 905
65300000 0 899
65400000 0 894
65500000 1 887
65600000 0 887
65700000 2 890
65800000 1 875
65900000 0 868
66000000 1 867
66100000 0 850
66200000 1 844
66300000 0 841
66400000 0 848
66500000 0 838
66600000 2 821
66700000 1 803
66800000 1 794
66900000 2 774
67000000 0 770
67100000 1 752
67200000 2 742
67300000 2 743
67400000 1 733
67500000 1 725
67600000 2 710
67700000 3 705
67800000 0 692
67900000 0 683
68000000 0 678
68100000 1 662
68200000 1 655
68300000 3 637
68400000 3 631
68500000 1 622
68600000 1 621
68700000 0 614
68800000 1 600
68900000 1 602
69000000 0 606
69100000 0 600
69200000 0 600
69300000 1 596
69400000 0 589
69500000 1 594
69600000 1 588
69700000 0 584
69800000 0 579
69900000 0 574
70000000 0 574
70100000 0 576
70200000 1 577
70300000 1 571
70400000 3 533
70500000 5 499
70600000 3 480
70700000 1 453
70800000 2 442
70900000 1 447
71000000 2 441
71100000 2 439
71200000 1 437
71300000 0 433
71400000 1 422
71500000 0 425
71600000 1 423
71700000 0 419
71800000 3 423
71900000 1 423
72000000 1 429
72100000 4 442
72200000 3 433
72300000 0 432
72400000 0 428
72500000 0 439
72600000 1 429
72700000 3 416
72800000 0 403
72900000 2 400
73000000 3 388
73100000 1 380
73200000 3 382
73300000 3 382
73400000 3 374
73500000 6 375
73600000 3 373
73700000 1 370
73800000 0 371
73900000 1 378
74000000 1 380
74100000 0 386
74200000 2 385
74300000 0 385
74400000 4 386
